Frame#,Time,C7_X,C7_Y,C7_Z,CLAV_X,CLAV_Y,CLAV_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LBHD_X,LBHD_Y,LBHD_Z,LELB_X,LELB_Y,LELB_Z,LFHD_X,LFHD_Y,LFHD_Z,LFIN_X,LFIN_Y,LFIN_Z,LFRM_X,LFRM_Y,LFRM_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTHI_X,LTHI_Y,LTHI_Z,LTIB_X,LTIB_Y,LTIB_Z,LTOE_X,LTOE_Y,LTOE_Z,LUPA_X,LUPA_Y,LUPA_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RBAK_X,RBAK_Y,RBAK_Z,RBHD_X,RBHD_Y,RBHD_Z,RELB_X,RELB_Y,RELB_Z,RFHD_X,RFHD_Y,RFHD_Z,RFIN_X,RFIN_Y,RFIN_Z,RFRM_X,RFRM_Y,RFRM_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTHI_X,RTHI_Y,RTHI_Z,RTIB_X,RTIB_Y,RTIB_Z,RTOE_X,RTOE_Y,RTOE_Z,RUPA_X,RUPA_Y,RUPA_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z,T10_X,T10_Y,T10_Z
1,0.0,-0.0914049,1.41687,-0.0205111,-0.25971,1.34714,-0.0150736,0.199314,0.237374,0.135881,-0.19289,0.940497,0.159624,-0.181006,1.56704,0.0632765,-0.285265,1.07118,0.256342,-0.296057,1.62592,0.0327962,-0.531266,0.860397,0.183708,-0.368296,0.937786,0.223356,0.243803,0.294623,0.0776557,-0.158715,0.422643,0.181803,-0.0612263,0.957703,0.022831,-0.163124,1.4049,0.156523,-0.182858,0.612953,0.189514,0.0726536,0.3194,0.169223,0.164722,0.0709605,0.0725066,-0.225363,1.24784,0.243483,-0.457418,0.924779,0.148992,-0.437226,0.881306,0.204988,-0.317985,0.0930169,-0.0993562,-0.214701,0.95547,-0.15639,-0.0443797,1.27398,-0.129869,-0.160977,1.56198,-0.0850614,-0.116056,1.05818,-0.285582,-0.274616,1.61192,-0.094238,-0.102332,0.71598,-0.341804,-0.100432,0.972438,-0.299555,-0.244199,0.0598702,-0.0392637,-0.377222,0.494447,-0.134343,-0.0628511,0.954737,-0.0415669,-0.167207,1.39285,-0.192107,-0.28104,0.805403,-0.180826,-0.346118,0.362638,-0.155973,-0.48256,0.0633911,-0.0429845,-0.150043,1.15073,-0.27193,-0.137603,0.802396,-0.274296,-0.0778679,0.806458,-0.318445,-0.308941,1.18948,-0.0063784,-0.0521511,1.18381,-0.00422401
2,0.00999083,-0.090756,1.41961,-0.0227379,-0.258829,1.34992,-0.0156991,0.187919,0.245107,0.133372,-0.191928,0.942275,0.158151,-0.180009,1.56949,0.0621669,-0.278005,1.07111,0.254,-0.295144,1.6284,0.0321868,-0.516125,0.849019,0.186744,-0.356058,0.934349,0.223234,0.225945,0.304082,0.0741373,-0.172635,0.424665,0.181011,-0.0596289,0.958633,0.022178,-0.160782,1.4072,0.155211,-0.190012,0.615223,0.188576,0.060163,0.324842,0.167437,0.163183,0.0750937,0.0745357,-0.220718,1.24917,0.242253,-0.445243,0.915737,0.151039,-0.423316,0.874583,0.207557,-0.305116,0.0930927,-0.0992875,-0.21429,0.958354,-0.157807,-0.044944,1.27652,-0.133231,-0.160427,1.56494,-0.0862816,-0.12396,1.05825,-0.28526,-0.274033,1.61482,-0.0948703,-0.120498,0.714951,-0.336384,-0.110651,0.971777,-0.298231,-0.231708,0.0594743,-0.0396561,-0.369808,0.49364,-0.135315,-0.0621289,0.957304,-0.0425243,-0.167968,1.39515,-0.193717,-0.279516,0.80698,-0.182482,-0.335746,0.362519,-0.156634,-0.469577,0.0630706,-0.0429678,-0.156395,1.15169,-0.272053,-0.151389,0.803229,-0.269194,-0.0930927,0.805154,-0.315004,-0.308478,1.19228,-0.00628267,-0.0513118,1.18625,-0.00691451
3,0.0199817,-0.0900086,1.42257,-0.0248231,-0.257943,1.35286,-0.0161867,0.176745,0.253731,0.131002,-0.190449,0.944652,0.156801,-0.178925,1.57216,0.0610838,-0.27043,1.07143,0.251544,-0.294178,1.63108,0.0316926,-0.499808,0.838195,0.190395,-0.34322,0.931347,0.223518,0.211844,0.312023,0.0691747,-0.186415,0.427384,0.179938,-0.0579927,0.960163,0.021225,-0.158247,1.40973,0.153998,-0.197314,0.618123,0.187584,0.047226,0.329678,0.165679,0.156558,0.0812757,0.0768591,-0.215949,1.2507,0.241032,-0.432043,0.907104,0.153142,-0.408235,0.868351,0.210203,-0.292246,0.0931124,-0.0993574,-0.213426,0.961462,-0.159125,-0.0455515,1.2794,-0.136586,-0.159794,1.56808,-0.0874353,-0.131968,1.05883,-0.284788,-0.273474,1.61793,-0.0954466,-0.139572,0.714831,-0.330839,-0.120989,0.971697,-0.296812,-0.218739,0.0595957,-0.0398851,-0.361808,0.492993,-0.135969,-0.0613032,0.96036,-0.0436616,-0.168953,1.39791,-0.195248,-0.277443,0.808388,-0.183852,-0.325513,0.362328,-0.157048,-0.456538,0.0628479,-0.0430034,-0.162559,1.15313,-0.271813,-0.165457,0.804812,-0.263804,-0.108533,0.804444,-0.3113,-0.307781,1.19525,-0.00609359,-0.0505797,1.18914,-0.0095782
4,0.0299725,-0.0891677,1.4257,-0.0267918,-0.257018,1.35597,-0.0165535,0.165463,0.262252,0.128208,-0.188832,0.947619,0.155531,-0.177788,1.57504,0.0600672,-0.262605,1.07203,0.249102,-0.293187,1.63392,0.0313102,-0.482306,0.828034,0.194622,-0.329661,0.928799,0.223946,0.199776,0.318479,0.0634787,-0.199927,0.430788,0.178629,-0.0564538,0.96236,0.0198416,-0.155487,1.41243,0.152752,-0.204675,0.62164,0.186516,0.0341349,0.33416,0.164259,0.145439,0.0880369,0.0796569,-0.211136,1.25247,0.239832,-0.418043,0.898996,0.15543,-0.392086,0.862659,0.212953,-0.279241,0.0931809,-0.0996912,-0.212379,0.964636,-0.160315,-0.0461226,1.28261,-0.139821,-0.159174,1.57141,-0.0884725,-0.140038,1.0599,-0.284196,-0.272913,1.62118,-0.0959472,-0.159089,0.715694,-0.324734,-0.131474,0.972229,-0.295285,-0.205513,0.0600171,-0.0399734,-0.353334,0.492511,-0.136304,-0.0604436,0.963797,-0.0450407,-0.169904,1.40101,-0.196625,-0.274906,0.809648,-0.184871,-0.315104,0.362202,-0.157367,-0.443481,0.0626636,-0.0430831,-0.168623,1.15503,-0.271258,-0.179789,0.807198,-0.258144,-0.124559,0.804375,-0.307225,-0.306821,1.1984,-0.00580538,-0.0496617,1.19235,-0.0122475
5,0.0399633,-0.0881897,1.42898,-0.0286509,-0.256003,1.35925,-0.0168636,0.153681,0.269842,0.125021,-0.187394,0.951131,0.154176,-0.17661,1.57806,0.0591423,-0.254373,1.07285,0.246829,-0.292162,1.63687,0.0310034,-0.463573,0.818693,0.199388,-0.315323,0.92676,0.224416,0.188508,0.323374,0.0576614,-0.212948,0.434853,0.177242,-0.0551281,0.965314,0.0179994,-0.152505,1.41528,0.151442,-0.212046,0.625705,0.185465,0.0217291,0.33924,0.162355,0.131042,0.0944345,0.0825538,-0.206293,1.25448,0.238661,-0.403213,0.891442,0.157966,-0.374935,0.857585,0.215714,-0.266257,0.093287,-0.0999708,-0.211826,0.967365,-0.16158,-0.0465252,1.28611,-0.142774,-0.158512,1.57486,-0.0894016,-0.148133,1.0615,-0.283522,-0.27234,1.62451,-0.0963811,-0.178736,0.717656,-0.31822,-0.142225,0.973332,-0.293458,-0.192189,0.060529,-0.0400175,-0.344483,0.492093,-0.136458,-0.0595138,0.967484,-0.0466935,-0.170537,1.40434,-0.1978,-0.272024,0.810884,-0.185505,-0.304539,0.362177,-0.157619,-0.430395,0.0624735,-0.0432189,-0.174558,1.15742,-0.270654,-0.194338,0.810376,-0.252237,-0.14085,0.805089,-0.302771,-0.305368,1.20173,-0.00539658,-0.0484107,1.19577,-0.0149614
6,0.0499541,-0.087105,1.43232,-0.0303945,-0.254832,1.36265,-0.0171446,0.141545,0.275995,0.12155,-0.186312,0.955187,0.15258,-0.175401,1.58123,0.058346,-0.245802,1.07409,0.244945,-0.291113,1.63993,0.0307466,-0.443671,0.810203,0.204674,-0.300339,0.925251,0.224914,0.17737,0.32654,0.052329,-0.225333,0.439564,0.175879,-0.0539875,0.968984,0.0159763,-0.149714,1.41832,0.15026,-0.219435,0.630137,0.184664,0.0097371,0.345048,0.15951,0.1147,0.100009,0.0850934,-0.201412,1.25673,0.237567,-0.387628,0.884593,0.160653,-0.356855,0.853242,0.218385,-0.253189,0.093242,-0.100084,-0.210651,0.970324,-0.162776,-0.046638,1.28986,-0.145295,-0.157815,1.5784,-0.0902553,-0.156321,1.06358,-0.282724,-0.271791,1.62791,-0.0967685,-0.198736,0.720629,-0.311443,-0.15316,0.975016,-0.291459,-0.17922,0.060632,-0.0402813,-0.335262,0.49174,-0.136642,-0.05848,0.971321,-0.0485269,-0.171023,1.40795,-0.198853,-0.269138,0.812341,-0.186004,-0.293935,0.362241,-0.157761,-0.417321,0.062295,-0.0434177,-0.180407,1.16018,-0.269836,-0.209006,0.814325,-0.246102,-0.157359,0.806648,-0.298127,-0.303245,1.20516,-0.00488834,-0.0469858,1.19925,-0.0177164
7,0.059945,-0.0859795,1.4357,-0.0320357,-0.253514,1.36612,-0.017399,0.128837,0.280549,0.118138,-0.185114,0.959742,0.151062,-0.174167,1.58451,0.0576314,-0.236947,1.0756,0.24294,-0.290034,1.64308,0.0305397,-0.422887,0.802644,0.210385,-0.284858,0.924327,0.225428,0.165897,0.328106,0.0475505,-0.23724,0.444927,0.17452,-0.0529549,0.97317,0.0139664,-0.146863,1.42154,0.149071,-0.226648,0.635066,0.183773,-0.00242793,0.350591,0.156333,0.0973545,0.104445,0.0870222,-0.196551,1.25915,0.236534,-0.371516,0.878562,0.163458,-0.337966,0.849662,0.220934,-0.24,0.093147,-0.100096,-0.209807,0.97288,-0.164125,-0.0464425,1.29374,-0.147439,-0.157097,1.58198,-0.0910502,-0.16474,1.06609,-0.281647,-0.271226,1.63135,-0.0970942,-0.219089,0.724526,-0.304344,-0.164167,0.977206,-0.289367,-0.166157,0.060786,-0.0404628,-0.325681,0.491514,-0.136907,-0.0574058,0.975192,-0.0504041,-0.171314,1.41171,-0.199748,-0.266335,0.813999,-0.186437,-0.283186,0.362429,-0.1578,-0.404231,0.0621955,-0.0435195,-0.186083,1.16332,-0.269001,-0.22361,0.81907,-0.239838,-0.174132,0.808891,-0.293015,-0.301119,1.20866,-0.00437466,-0.0459705,1.20269,-0.0204336
8,0.0699358,-0.0848036,1.43913,-0.0335529,-0.252107,1.36966,-0.0176462,0.115506,0.283454,0.114964,-0.183821,0.964684,0.149455,-0.172873,1.58785,0.056975,-0.227833,1.07738,0.241007,-0.288935,1.64626,0.0304039,-0.40128,0.796025,0.216378,-0.268872,0.924071,0.225766,0.153915,0.328133,0.0432454,-0.248779,0.450861,0.17298,-0.0519844,0.977601,0.012082,-0.144161,1.4248,0.147934,-0.233528,0.64046,0.18246,-0.0147214,0.355125,0.153415,0.0794458,0.107536,0.088247,-0.191699,1.26166,0.235549,-0.354999,0.873324,0.166461,-0.318361,0.846974,0.223528,-0.22701,0.0936199,-0.100187,-0.2095,0.974931,-0.165647,-0.0459846,1.29769,-0.149372,-0.156355,1.58557,-0.0917512,-0.173394,1.06895,-0.280225,-0.270507,1.63474,-0.0972417,-0.239623,0.729334,-0.296835,-0.17524,0.97989,-0.287139,-0.153073,0.0609771,-0.0405934,-0.315666,0.491367,-0.137152,-0.0563015,0.978972,-0.0521805,-0.171551,1.41562,-0.200564,-0.263686,0.815544,-0.186947,-0.271959,0.36274,-0.157855,-0.391069,0.0621341,-0.0435358,-0.191576,1.16679,-0.268181,-0.238128,0.82455,-0.233443,-0.190829,0.811795,-0.287897,-0.299047,1.21221,-0.00383735,-0.0448701,1.20618,-0.0230507
9,0.0799266,-0.0836343,1.44256,-0.0349712,-0.250654,1.37316,-0.017895,0.101675,0.284692,0.112079,-0.182561,0.969871,0.147814,-0.171587,1.59115,0.0563308,-0.21846,1.07935,0.239313,-0.287807,1.64939,0.0303455,-0.378883,0.790242,0.222393,-0.252594,0.924406,0.225968,0.141487,0.326727,0.0394604,-0.259956,0.457216,0.171428,-0.0510347,0.982061,0.0103651,-0.14166,1.42806,0.146837,-0.240229,0.646188,0.181115,-0.0270848,0.358597,0.150879,0.0609708,0.109275,0.0888456,-0.186822,1.26421,0.234631,-0.337927,0.868896,0.169663,-0.29832,0.845087,0.225773,-0.213959,0.0940154,-0.10023,-0.208498,0.977179,-0.167075,-0.0453554,1.30166,-0.151292,-0.155578,1.58909,-0.0923683,-0.181707,1.0722,-0.279024,-0.269774,1.63807,-0.0973427,-0.26005,0.735102,-0.28888,-0.186424,0.983034,-0.284709,-0.140152,0.0609571,-0.040709,-0.305171,0.491208,-0.137354,-0.055173,0.982575,-0.0537356,-0.171611,1.41957,-0.201289,-0.261017,0.816893,-0.187551,-0.260085,0.363185,-0.158025,-0.377886,0.0621033,-0.0435869,-0.196887,1.17053,-0.267361,-0.252549,0.830727,-0.226928,-0.207425,0.815428,-0.282794,-0.29697,1.21579,-0.00325033,-0.0436204,1.20971,-0.0254673
10,0.0899174,-0.0824956,1.44591,-0.0362877,-0.249193,1.37653,-0.0181474,0.0874577,0.28436,0.109523,-0.181362,0.975094,0.146158,-0.17035,1.59435,0.0556871,-0.20883,1.08144,0.237863,-0.286623,1.6524,0.0303435,-0.355895,0.785255,0.228451,-0.236136,0.92524,0.226213,0.128707,0.323964,0.0362579,-0.270641,0.46381,0.169934,-0.0500637,0.986403,0.00890595,-0.139348,1.43125,0.145762,-0.246707,0.652146,0.179788,-0.0394431,0.361026,0.148533,0.0419563,0.109677,0.0890503,-0.181835,1.26678,0.233786,-0.320743,0.865178,0.172911,-0.277911,0.844022,0.227896,-0.201007,0.094206,-0.100239,-0.206671,0.979669,-0.168377,-0.0446866,1.3056,-0.153328,-0.154738,1.59249,-0.092909,-0.189755,1.07575,-0.277956,-0.269065,1.64126,-0.0974173,-0.280445,0.741822,-0.280756,-0.197544,0.986633,-0.282221,-0.12692,0.06124,-0.0408272,-0.294388,0.491045,-0.13766,-0.0539833,0.985963,-0.0550648,-0.171489,1.4235,-0.201933,-0.258086,0.818076,-0.188231,-0.247584,0.363749,-0.158302,-0.364742,0.0620854,-0.0436625,-0.202036,1.17448,-0.266617,-0.266755,0.837524,-0.220336,-0.224194,0.820132,-0.277238,-0.29491,1.21935,-0.0026506,-0.0422693,1.21332,-0.0276971
