Frame#,Time,C7_X,C7_Y,C7_Z,CLAV_X,CLAV_Y,CLAV_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LBHD_X,LBHD_Y,LBHD_Z,LELB_X,LELB_Y,LELB_Z,LFHD_X,LFHD_Y,LFHD_Z,LFIN_X,LFIN_Y,LFIN_Z,LFRM_X,LFRM_Y,LFRM_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTHI_X,LTHI_Y,LTHI_Z,LTIB_X,LTIB_Y,LTIB_Z,LTOE_X,LTOE_Y,LTOE_Z,LUPA_X,LUPA_Y,LUPA_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RBAK_X,RBAK_Y,RBAK_Z,RBHD_X,RBHD_Y,RBHD_Z,RELB_X,RELB_Y,RELB_Z,RFHD_X,RFHD_Y,RFHD_Z,RFIN_X,RFIN_Y,RFIN_Z,RFRM_X,RFRM_Y,RFRM_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTHI_X,RTHI_Y,RTHI_Z,RTIB_X,RTIB_Y,RTIB_Z,RTOE_X,RTOE_Y,RTOE_Z,RUPA_X,RUPA_Y,RUPA_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z,T10_X,T10_Y,T10_Z
1,0.0,0.00384753,1.46656,0.0665264,-0.151412,1.38225,0.0459461,0.047697,0.0930988,0.121132,-0.0914782,0.986433,0.206825,-0.162439,1.59016,0.146128,-0.160298,1.11598,0.3306,-0.285497,1.55648,0.113916,-0.361326,1.12988,0.0757638,-0.244628,1.07059,0.208706,0.117613,0.0645166,0.0622353,-0.0572259,0.469727,0.170531,0.051005,1.00413,0.0791398,-0.0716634,1.44357,0.228063,-0.0744011,0.655998,0.206881,0.0215053,0.23616,0.162018,-0.123691,0.0642461,0.0690443,-0.121289,1.28616,0.316973,-0.262011,1.13791,0.115036,-0.299875,1.08261,0.140429,-0.0187475,0.173105,-0.108114,-0.0852088,0.994786,-0.108482,0.0811751,1.34245,-0.0411442,-0.143558,1.60733,-0.00288116,0.0734953,1.15404,-0.227254,-0.260784,1.56767,-0.0126805,-0.0792446,0.856853,-0.292695,0.060953,1.06551,-0.243783,0.0531424,0.167172,-0.0300674,-0.24303,0.525054,-0.131133,0.0540311,0.99769,0.0158418,-0.0452029,1.45373,-0.114387,-0.152017,0.842854,-0.137788,-0.150738,0.423929,-0.151373,-0.153112,0.0720281,-0.0889235,0.0314566,1.23948,-0.209077,-0.0549781,0.938929,-0.216552,-0.00294867,0.910463,-0.260466,-0.185445,1.22597,0.0484572,0.0628439,1.2384,0.0712059
2,0.00999209,0.00440657,1.46585,0.0673158,-0.150743,1.38156,0.0457655,0.056485,0.0932098,0.121191,-0.0907982,0.985602,0.207185,-0.162342,1.58961,0.145148,-0.164091,1.11634,0.330797,-0.285121,1.55614,0.112733,-0.361691,1.13158,0.0729374,-0.247509,1.07158,0.207979,0.12631,0.0645967,0.0623161,-0.051305,0.469285,0.170548,0.0520183,1.00369,0.0798136,-0.0723741,1.44315,0.2284,-0.0704852,0.655418,0.206613,0.0293736,0.236263,0.161981,-0.114626,0.0646291,0.0690676,-0.123709,1.28636,0.317499,-0.262942,1.13838,0.113735,-0.301977,1.084,0.139125,-0.0359015,0.164724,-0.107773,-0.0838657,0.994231,-0.108105,0.082562,1.34127,-0.0395314,-0.142366,1.60663,-0.00329767,0.0773178,1.15348,-0.226384,-0.2596,1.5671,-0.0137949,-0.0712324,0.855553,-0.296592,0.0657146,1.06497,-0.243709,0.0357386,0.154673,-0.0301776,-0.24501,0.52593,-0.128782,0.0551788,0.99724,0.0164047,-0.0432472,1.45247,-0.113964,-0.151374,0.842777,-0.137293,-0.156908,0.421294,-0.149832,-0.174688,0.0702433,-0.0875367,0.0348152,1.23875,-0.208262,-0.0494722,0.937273,-0.219379,0.00361752,0.90935,-0.262387,-0.184598,1.22527,0.0478748,0.0636339,1.23765,0.0729584
3,0.0199842,0.00495158,1.46506,0.0679988,-0.150094,1.38079,0.0455171,0.0652125,0.0933403,0.121254,-0.0902052,0.984679,0.207543,-0.162197,1.58919,0.144704,-0.167487,1.11656,0.330918,-0.284729,1.55574,0.111488,-0.362014,1.13292,0.0702985,-0.250073,1.0723,0.207248,0.135049,0.064814,0.0623783,-0.0455421,0.468825,0.170542,0.0529568,1.00329,0.0804616,-0.0731108,1.44267,0.228652,-0.0671891,0.654652,0.206721,0.0370213,0.236548,0.162152,-0.10577,0.0647056,0.0691074,-0.125682,1.28629,0.317573,-0.263737,1.13848,0.112526,-0.303954,1.08505,0.137965,-0.0535428,0.15656,-0.107434,-0.0825901,0.993605,-0.10776,0.0838896,1.34005,-0.0380783,-0.141239,1.60586,-0.00377971,0.0810611,1.15275,-0.225474,-0.25848,1.56647,-0.0149075,-0.0635969,0.853992,-0.300447,0.0703236,1.06424,-0.24352,0.018157,0.14293,-0.0304047,-0.246454,0.526543,-0.126317,0.0562717,0.996809,0.0170024,-0.0414007,1.45116,-0.11367,-0.150574,0.842477,-0.136892,-0.162829,0.418597,-0.148246,-0.19634,0.0685535,-0.0862644,0.0381468,1.2379,-0.207386,-0.04405,0.935567,-0.222232,0.0100096,0.908138,-0.264012,-0.183807,1.22436,0.0470382,0.0643952,1.23689,0.0744388
4,0.0299763,0.00544673,1.46421,0.0685397,-0.149484,1.37996,0.045191,0.0739394,0.0934761,0.121325,-0.0897272,0.983675,0.207913,-0.16182,1.58867,0.14429,-0.1705,1.11665,0.330937,-0.284331,1.55531,0.110215,-0.362151,1.13381,0.0678153,-0.252356,1.07276,0.206574,0.143863,0.0650841,0.0624658,-0.0399496,0.468344,0.170525,0.053753,1.00292,0.0810592,-0.0738465,1.44212,0.228793,-0.0639587,0.653854,0.206781,0.0446973,0.236828,0.162387,-0.0969559,0.0646944,0.0691351,-0.1274,1.2861,0.31751,-0.264394,1.1382,0.111396,-0.305789,1.08587,0.137026,-0.0716491,0.148701,-0.107036,-0.0813694,0.992901,-0.107437,0.0851307,1.3388,-0.0367905,-0.140185,1.60501,-0.00435888,0.0846192,1.1519,-0.224623,-0.257413,1.56578,-0.0160324,-0.0562986,0.852177,-0.304085,0.0747426,1.06338,-0.243304,8.31434e-05,0.131601,-0.0307293,-0.247314,0.526915,-0.123725,0.0572681,0.996372,0.0175773,-0.0395988,1.44975,-0.113449,-0.149607,0.841945,-0.136547,-0.168465,0.415837,-0.146594,-0.218089,0.0671045,-0.0849759,0.0413497,1.23696,-0.206577,-0.0389128,0.933679,-0.225177,0.0161753,0.90681,-0.265412,-0.183058,1.22327,0.0460245,0.0651368,1.23611,0.0756924
5,0.0399684,0.00590192,1.46331,0.0689661,-0.148919,1.37906,0.0447723,0.0827109,0.093631,0.121432,-0.0893641,0.982622,0.208265,-0.16153,1.58803,0.143434,-0.173151,1.11662,0.330845,-0.283939,1.55484,0.108912,-0.362138,1.13422,0.0654644,-0.254395,1.07296,0.205984,0.152728,0.0653438,0.062573,-0.0345026,0.467846,0.170503,0.0544828,1.00256,0.0816219,-0.0744035,1.4414,0.228779,-0.0607314,0.653037,0.206747,0.0521748,0.237084,0.162489,-0.0880872,0.0646982,0.0691364,-0.128891,1.28583,0.317373,-0.264944,1.13752,0.11032,-0.307422,1.08633,0.136138,-0.0901336,0.141248,-0.106623,-0.0802438,0.992109,-0.107136,0.0862952,1.33751,-0.0356605,-0.139173,1.60413,-0.00505315,0.0879311,1.15093,-0.223873,-0.256374,1.56505,-0.0172245,-0.0488202,0.85027,-0.307224,0.0789433,1.06247,-0.243197,-0.0185564,0.120645,-0.0310893,-0.247588,0.527036,-0.12101,0.0581703,0.995933,0.0181047,-0.0378911,1.44829,-0.113283,-0.148489,0.841205,-0.136252,-0.173759,0.412996,-0.144865,-0.239978,0.0662221,-0.0833659,0.0443528,1.2359,-0.205857,-0.0339029,0.931752,-0.227814,0.0221371,0.905412,-0.266752,-0.182324,1.22213,0.0448703,0.0658204,1.23529,0.0767649
6,0.0499604,0.00633656,1.46234,0.0692593,-0.148413,1.37809,0.0442711,0.0915326,0.0938522,0.121531,-0.0889889,0.981568,0.208476,-0.16127,1.58735,0.142491,-0.175438,1.11649,0.330651,-0.283568,1.55436,0.107576,-0.362062,1.13415,0.0633101,-0.256159,1.07291,0.205478,0.161662,0.0656689,0.062684,-0.0291802,0.467339,0.170455,0.0550944,1.00214,0.0821262,-0.0749391,1.44068,0.228682,-0.0576302,0.652252,0.206566,0.0596624,0.23732,0.162607,-0.0791617,0.0647321,0.0691143,-0.130124,1.28542,0.317035,-0.26533,1.13642,0.10923,-0.308885,1.08641,0.135337,-0.108948,0.134264,-0.106195,-0.0792316,0.991256,-0.106873,0.0873494,1.33618,-0.0346693,-0.138206,1.60318,-0.00583373,0.0909793,1.14988,-0.223209,-0.255409,1.5643,-0.0184594,-0.0412436,0.848262,-0.309912,0.0828086,1.06135,-0.24302,-0.0376746,0.110209,-0.0313829,-0.247498,0.526871,-0.118283,0.0589775,0.995459,0.0185886,-0.0363009,1.4468,-0.113214,-0.147285,0.840295,-0.136021,-0.178701,0.41009,-0.143085,-0.261943,0.0660086,-0.0814582,0.0471754,1.23475,-0.205213,-0.0293795,0.929735,-0.230262,0.0278384,0.903927,-0.267968,-0.181838,1.22099,0.0439435,0.0664438,1.23441,0.0776601
7,0.0599525,0.00669919,1.46134,0.069421,-0.147985,1.37707,0.0437058,0.100454,0.0941553,0.121554,-0.088741,0.98046,0.208698,-0.161018,1.58681,0.141921,-0.177329,1.11623,0.330405,-0.283208,1.55386,0.106219,-0.361938,1.13361,0.0613425,-0.257653,1.07257,0.205038,0.170638,0.066077,0.0627975,-0.0239683,0.466812,0.17042,0.0555787,1.00164,0.0825892,-0.075489,1.43996,0.228517,-0.0546157,0.651402,0.206494,0.0670572,0.237627,0.162974,-0.0702701,0.064665,0.0690818,-0.131118,1.28487,0.316515,-0.265507,1.13494,0.107924,-0.310221,1.08611,0.134696,-0.128035,0.12786,-0.105538,-0.0782916,0.990331,-0.106651,0.0882847,1.33483,-0.0338216,-0.137255,1.60222,-0.00668345,0.0938041,1.14872,-0.222631,-0.254493,1.56352,-0.0197333,-0.0340765,0.846069,-0.312432,0.0864847,1.06018,-0.242924,-0.0573131,0.100451,-0.0315585,-0.246817,0.526296,-0.115544,0.0596982,0.994952,0.0190285,-0.0348018,1.44525,-0.113221,-0.146104,0.839249,-0.135925,-0.183374,0.407135,-0.141286,-0.283869,0.0663861,-0.0793334,0.0497829,1.23353,-0.204683,-0.0250165,0.927734,-0.23252,0.0332366,0.902356,-0.269016,-0.181422,1.21997,0.0430206,0.0669841,1.23346,0.0784389
8,0.0699446,0.00698314,1.46028,0.0694475,-0.147667,1.37602,0.0430645,0.109335,0.0944705,0.121691,-0.0885404,0.979325,0.20883,-0.160626,1.5861,0.140904,-0.178856,1.11582,0.330107,-0.282858,1.55338,0.104807,-0.36176,1.13254,0.059531,-0.258883,1.07193,0.204679,0.179519,0.0664376,0.062959,-0.0188146,0.466275,0.170484,0.0560232,1.00107,0.0830174,-0.0759561,1.43913,0.228244,-0.051611,0.650496,0.206547,0.0744278,0.23797,0.163358,-0.0613386,0.0646176,0.0691163,-0.132068,1.28424,0.316109,-0.265705,1.13316,0.10678,-0.31139,1.08545,0.13421,-0.147369,0.122146,-0.104624,-0.0774653,0.989305,-0.106483,0.0891153,1.33347,-0.0331341,-0.136351,1.60121,-0.00760433,0.0963805,1.14746,-0.222133,-0.253627,1.56274,-0.0210532,-0.0273454,0.843675,-0.314711,0.0899192,1.05901,-0.242887,-0.0775349,0.0914926,-0.031552,-0.245547,0.525309,-0.112831,0.0603267,0.994425,0.0194754,-0.0333913,1.44366,-0.1133,-0.144975,0.838047,-0.135906,-0.187785,0.404151,-0.139479,-0.305569,0.0671168,-0.0772663,0.0519997,1.23225,-0.204439,-0.020808,0.925731,-0.234638,0.03833,0.900693,-0.269911,-0.180908,1.21884,0.0422599,0.067402,1.23241,0.0791053
9,0.0799367,0.0071979,1.45919,0.0693599,-0.147411,1.37496,0.0423545,0.11817,0.0948061,0.121939,-0.0884785,0.978152,0.208987,-0.160359,1.58534,0.139597,-0.179993,1.11526,0.329752,-0.282543,1.5529,0.10335,-0.361537,1.13091,0.0578942,-0.259827,1.071,0.204395,0.188399,0.0668948,0.0631883,-0.0136863,0.465785,0.170646,0.0563914,1.00047,0.0834108,-0.0764838,1.43828,0.227881,-0.0485733,0.649613,0.20665,0.0819151,0.238402,0.163782,-0.0523912,0.0646142,0.0692079,-0.132963,1.2836,0.315816,-0.265894,1.13102,0.105851,-0.312366,1.08442,0.133864,-0.166918,0.117159,-0.103807,-0.0767553,0.988195,-0.106377,0.0898212,1.33207,-0.0325958,-0.135508,1.60019,-0.00859392,0.0987285,1.14607,-0.221722,-0.252793,1.56193,-0.0224265,-0.0209593,0.841112,-0.316673,0.0929911,1.05765,-0.242731,-0.0979567,0.0836816,-0.0312291,-0.243833,0.523953,-0.110166,0.0608315,0.993855,0.0198665,-0.0321985,1.44206,-0.113527,-0.143864,0.83669,-0.135855,-0.19194,0.401115,-0.137616,-0.327024,0.0681493,-0.0751886,0.0539891,1.23085,-0.204215,-0.0170186,0.923631,-0.23675,0.0431835,0.898958,-0.270722,-0.180577,1.21782,0.0416936,0.0676891,1.23131,0.0796694
10,0.0899288,0.007364,1.45805,0.069171,-0.147227,1.37387,0.041607,0.126944,0.0951642,0.122242,-0.0884295,0.976955,0.208972,-0.160134,1.5847,0.138603,-0.180772,1.11455,0.32939,-0.282274,1.55242,0.101855,-0.361339,1.12871,0.0564541,-0.260501,1.06977,0.204173,0.197321,0.0675005,0.0634531,-0.00848244,0.46537,0.170777,0.0566348,0.999837,0.0837344,-0.077006,1.43738,0.227393,-0.0454914,0.648798,0.206771,0.0893617,0.23899,0.164207,-0.0434353,0.064612,0.0693009,-0.133595,1.28282,0.3153,-0.266001,1.12852,0.104985,-0.313177,1.083,0.133664,-0.186641,0.113088,-0.103165,-0.0761902,0.987004,-0.106361,0.090402,1.33066,-0.0322223,-0.134733,1.59916,-0.00966684,0.100799,1.14457,-0.221392,-0.252053,1.56114,-0.0238197,-0.0148746,0.83838,-0.318349,0.0957285,1.05607,-0.242527,-0.118391,0.0770852,-0.0305861,-0.241804,0.522288,-0.107557,0.0611733,0.993239,0.0201677,-0.0311926,1.44046,-0.113886,-0.142753,0.835163,-0.135709,-0.195973,0.398064,-0.135757,-0.348297,0.069814,-0.0728713,0.0558424,1.22939,-0.204134,-0.0135234,0.921531,-0.238749,0.047752,0.897128,-0.271494,-0.180307,1.21678,0.0412441,0.0678476,1.23015,0.080139
