Frame#,Time,C7_X,C7_Y,C7_Z,CLAV_X,CLAV_Y,CLAV_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LBHD_X,LBHD_Y,LBHD_Z,LELB_X,LELB_Y,LELB_Z,LFHD_X,LFHD_Y,LFHD_Z,LFIN_X,LFIN_Y,LFIN_Z,LFRM_X,LFRM_Y,LFRM_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTHI_X,LTHI_Y,LTHI_Z,LTIB_X,LTIB_Y,LTIB_Z,LTOE_X,LTOE_Y,LTOE_Z,LUPA_X,LUPA_Y,LUPA_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RBAK_X,RBAK_Y,RBAK_Z,RBHD_X,RBHD_Y,RBHD_Z,RELB_X,RELB_Y,RELB_Z,RFHD_X,RFHD_Y,RFHD_Z,RFIN_X,RFIN_Y,RFIN_Z,RFRM_X,RFRM_Y,RFRM_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTHI_X,RTHI_Y,RTHI_Z,RTIB_X,RTIB_Y,RTIB_Z,RTOE_X,RTOE_Y,RTOE_Z,RUPA_X,RUPA_Y,RUPA_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z,T10_X,T10_Y,T10_Z
1,0.0,-0.108762,1.44613,-0.0587691,-0.274211,1.37078,-0.0530102,0.135188,0.2048,0.133286,-0.206285,0.976467,0.120155,-0.204241,1.59512,0.0235137,-0.227397,1.08561,0.22356,-0.320554,1.64919,-0.0104891,-0.371046,0.784927,0.206137,-0.255055,0.929322,0.212503,0.205286,0.23887,0.0749081,-0.177902,0.460032,0.160848,-0.0809544,0.985778,-0.0241408,-0.183612,1.43505,0.118065,-0.199098,0.651362,0.162406,0.027107,0.312374,0.159433,0.0565936,0.0712663,0.0766035,-0.219326,1.27142,0.209592,-0.339125,0.870721,0.157412,-0.296096,0.849,0.212306,-0.301753,0.0938213,-0.148681,-0.243832,0.980448,-0.193924,-0.0627938,1.30675,-0.174862,-0.181907,1.58629,-0.124586,-0.179279,1.07705,-0.314382,-0.296995,1.63207,-0.136653,-0.226682,0.730886,-0.32995,-0.177683,0.988699,-0.322086,-0.228074,0.0591676,-0.089757,-0.34749,0.497204,-0.169242,-0.0858408,0.980857,-0.0874846,-0.192637,1.42189,-0.229666,-0.30114,0.821502,-0.215523,-0.311794,0.369008,-0.195069,-0.465848,0.061161,-0.0935456,-0.19872,1.17385,-0.303661,-0.23174,0.829765,-0.272999,-0.185285,0.820727,-0.329424,-0.320006,1.21555,-0.0422902,-0.0642557,1.21641,-0.0489776
2,0.00999104,-0.109075,1.44732,-0.062019,-0.27426,1.37183,-0.0543028,0.131427,0.212385,0.131031,-0.204445,0.977348,0.117963,-0.203892,1.59615,0.0214393,-0.221839,1.08656,0.221149,-0.320482,1.65027,-0.0115834,-0.361448,0.783682,0.206104,-0.247446,0.929738,0.210267,0.196784,0.250933,0.0726304,-0.186836,0.460404,0.161029,-0.0804315,0.986098,-0.0273134,-0.181879,1.43604,0.115624,-0.204001,0.652099,0.161836,0.0211011,0.316888,0.158319,0.0553226,0.0718705,0.0763112,-0.215913,1.27234,0.207499,-0.331639,0.869815,0.156613,-0.287408,0.848766,0.210521,-0.293861,0.0938421,-0.148898,-0.24497,0.981168,-0.195825,-0.0645318,1.30822,-0.178893,-0.182727,1.58738,-0.126734,-0.18383,1.07838,-0.316858,-0.297897,1.63316,-0.137944,-0.234583,0.732636,-0.33062,-0.183028,0.989963,-0.324339,-0.220093,0.0591295,-0.0899463,-0.343157,0.496953,-0.17017,-0.0858809,0.981694,-0.0905933,-0.194963,1.42333,-0.231773,-0.300471,0.821757,-0.217064,-0.306762,0.368838,-0.195959,-0.458083,0.0611091,-0.0934289,-0.202891,1.17522,-0.305523,-0.237467,0.831588,-0.273998,-0.192108,0.822029,-0.331062,-0.320603,1.21674,-0.0433697,-0.0643175,1.21757,-0.052768
3,0.0199821,-0.109263,1.44854,-0.0651822,-0.274183,1.37284,-0.055495,0.126745,0.219484,0.128799,-0.202358,0.978363,0.116266,-0.203514,1.5972,0.0194344,-0.216429,1.08726,0.218671,-0.32038,1.65125,-0.0125528,-0.35168,0.782334,0.205962,-0.239757,0.930077,0.208243,0.188408,0.261384,0.0694072,-0.195772,0.46121,0.161008,-0.0796887,0.986529,-0.0302191,-0.179915,1.43712,0.113275,-0.208753,0.653146,0.161107,0.0148587,0.321462,0.156958,0.0542155,0.0716909,0.075853,-0.212327,1.2731,0.205457,-0.324012,0.868829,0.155847,-0.278458,0.848529,0.209137,-0.286,0.0938371,-0.149167,-0.246153,0.981793,-0.197513,-0.0662552,1.30965,-0.182959,-0.183525,1.58849,-0.128832,-0.188477,1.07966,-0.319314,-0.298816,1.63421,-0.139078,-0.242582,0.734309,-0.331218,-0.18845,0.991133,-0.32665,-0.212013,0.0592542,-0.0902204,-0.338669,0.496706,-0.171181,-0.0856996,0.982792,-0.0935178,-0.197366,1.42468,-0.233839,-0.29976,0.822123,-0.218306,-0.301726,0.368678,-0.196838,-0.450288,0.0612187,-0.0934237,-0.207042,1.17658,-0.307556,-0.2434,0.833382,-0.274921,-0.199202,0.823294,-0.33266,-0.320776,1.21787,-0.0441502,-0.0641234,1.21875,-0.0563649
4,0.0299731,-0.109337,1.44976,-0.0683052,-0.273963,1.37381,-0.056605,0.121447,0.225898,0.126475,-0.200017,0.979463,0.114706,-0.203156,1.59821,0.0174071,-0.211075,1.08782,0.216223,-0.320232,1.65215,-0.0133852,-0.341793,0.780988,0.20581,-0.232033,0.93038,0.206346,0.180674,0.269679,0.0652659,-0.204674,0.462478,0.160823,-0.0786349,0.987107,-0.0328498,-0.177762,1.43805,0.11103,-0.213322,0.654502,0.160281,0.00831129,0.326118,0.155173,0.0528439,0.0718047,0.0758219,-0.208546,1.27376,0.203452,-0.316213,0.867776,0.155108,-0.269388,0.848236,0.2078,-0.278106,0.0938153,-0.149428,-0.246935,0.9825,-0.199005,-0.0679518,1.31104,-0.187018,-0.184291,1.58961,-0.130834,-0.193244,1.08086,-0.321734,-0.29975,1.6352,-0.140072,-0.250846,0.735987,-0.331761,-0.193997,0.992236,-0.329024,-0.203672,0.0595384,-0.0905027,-0.334044,0.496415,-0.172249,-0.085536,0.984035,-0.0961838,-0.199819,1.42596,-0.235867,-0.299024,0.822543,-0.219333,-0.296358,0.368548,-0.197557,-0.442276,0.0612923,-0.0936838,-0.211248,1.1779,-0.309601,-0.249538,0.835156,-0.275779,-0.206578,0.824495,-0.334199,-0.320588,1.21893,-0.0446749,-0.0637053,1.21996,-0.0598455
5,0.0399642,-0.109323,1.45099,-0.0713676,-0.273614,1.37473,-0.0576145,0.116481,0.23179,0.123742,-0.197856,0.980642,0.113177,-0.202799,1.59919,0.0153924,-0.205741,1.0883,0.213833,-0.320025,1.65293,-0.0140588,-0.331835,0.779734,0.205705,-0.22433,0.930677,0.204531,0.173433,0.275866,0.0605854,-0.213386,0.464096,0.160609,-0.0772004,0.987859,-0.0351707,-0.175413,1.4388,0.108858,-0.217694,0.656141,0.159463,0.0016507,0.330711,0.153213,0.0502521,0.0744531,0.0768709,-0.204528,1.27435,0.201581,-0.308239,0.866661,0.154355,-0.260278,0.847929,0.206472,-0.27009,0.0938337,-0.149701,-0.24734,0.983277,-0.200412,-0.0695952,1.3124,-0.191016,-0.185031,1.59073,-0.132748,-0.198143,1.08202,-0.324093,-0.300646,1.63614,-0.140953,-0.259401,0.73772,-0.332239,-0.199769,0.993323,-0.331378,-0.19532,0.0598325,-0.090326,-0.32919,0.496074,-0.173355,-0.0856352,0.985271,-0.0984942,-0.20215,1.42712,-0.237764,-0.298215,0.822974,-0.220269,-0.29063,0.368468,-0.198369,-0.434179,0.0612708,-0.0939263,-0.215553,1.17917,-0.311562,-0.255867,0.836926,-0.276577,-0.214213,0.825631,-0.335615,-0.320514,1.21988,-0.0449954,-0.0630414,1.22124,-0.0632746
6,0.0499552,-0.109234,1.4522,-0.0743469,-0.273163,1.37557,-0.0585108,0.111893,0.237708,0.120612,-0.196257,0.981944,0.111564,-0.202171,1.60009,0.0137013,-0.200397,1.08873,0.211501,-0.319765,1.65361,-0.0145916,-0.321807,0.77861,0.205641,-0.216631,0.930996,0.20277,0.166914,0.280613,0.0551391,-0.2217,0.465976,0.160276,-0.0758966,0.988679,-0.037226,-0.172992,1.43954,0.106786,-0.221894,0.657958,0.158646,-0.00494581,0.335132,0.151242,0.0450288,0.07941,0.0788229,-0.200292,1.27492,0.199877,-0.30012,0.865524,0.153573,-0.251163,0.847634,0.205165,-0.262026,0.093912,-0.149991,-0.247427,0.984064,-0.201777,-0.0711414,1.31375,-0.194915,-0.185733,1.59184,-0.134581,-0.203188,1.08313,-0.326396,-0.301546,1.63702,-0.141727,-0.268216,0.739488,-0.33262,-0.205819,0.994339,-0.33357,-0.187278,0.0598584,-0.0905418,-0.323981,0.49568,-0.174488,-0.0854189,0.986454,-0.100443,-0.204298,1.42816,-0.239525,-0.297272,0.823374,-0.221243,-0.28434,0.36843,-0.199328,-0.426084,0.0612205,-0.0940915,-0.219925,1.18039,-0.313379,-0.26239,0.838693,-0.277296,-0.222067,0.826691,-0.336907,-0.319971,1.22076,-0.0450673,-0.0621954,1.22253,-0.0667342
7,0.0599462,-0.109061,1.45337,-0.0772705,-0.272594,1.37635,-0.0593377,0.107042,0.243356,0.117333,-0.194911,0.983293,0.10995,-0.201534,1.60094,0.0119707,-0.195031,1.08912,0.209213,-0.319449,1.65417,-0.0150215,-0.311711,0.77756,0.205599,-0.208884,0.931326,0.201063,0.160586,0.28407,0.0491836,-0.229481,0.468055,0.159866,-0.0747777,0.989549,-0.0390389,-0.170362,1.44018,0.104746,-0.225966,0.659879,0.157832,-0.0113186,0.339341,0.149166,0.0377941,0.0847536,0.0817351,-0.195939,1.2754,0.198022,-0.291889,0.864403,0.15277,-0.242022,0.847368,0.203822,-0.253971,0.0940236,-0.150196,-0.247068,0.984834,-0.203127,-0.0725358,1.31507,-0.19868,-0.186368,1.5929,-0.136351,-0.208508,1.08419,-0.328499,-0.302386,1.63784,-0.142352,-0.277273,0.74131,-0.332912,-0.212032,0.995345,-0.33556,-0.179492,0.0598632,-0.0907136,-0.31836,0.495261,-0.175638,-0.0843353,0.987553,-0.102201,-0.206242,1.42912,-0.241152,-0.29612,0.823685,-0.222284,-0.27741,0.368423,-0.200315,-0.418006,0.0611622,-0.0942132,-0.22433,1.18158,-0.315059,-0.269082,0.840461,-0.277917,-0.230135,0.827876,-0.338243,-0.318977,1.22152,-0.0450318,-0.061297,1.2238,-0.0703059
8,0.0699373,-0.108787,1.45449,-0.0801121,-0.27191,1.37708,-0.0601167,0.101552,0.24805,0.114034,-0.193726,0.9847,0.108368,-0.200717,1.60172,0.0105021,-0.189488,1.08963,0.207036,-0.319063,1.65467,-0.015353,-0.301535,0.776584,0.205565,-0.201091,0.931683,0.199407,0.153963,0.28592,0.0432232,-0.236658,0.470305,0.159564,-0.0737031,0.990475,-0.04063,-0.167663,1.44084,0.102774,-0.229924,0.661912,0.157068,-0.0175115,0.343238,0.146829,0.0291859,0.0895002,0.0847618,-0.191473,1.27577,0.196027,-0.283573,0.86334,0.152007,-0.232832,0.847158,0.202474,-0.246046,0.0940476,-0.150262,-0.246284,0.985576,-0.204537,-0.0737524,1.31632,-0.202285,-0.18697,1.59395,-0.138033,-0.214099,1.0852,-0.330322,-0.303212,1.6386,-0.142906,-0.286696,0.743246,-0.333261,-0.218505,0.996433,-0.337264,-0.171323,0.0600291,-0.0909393,-0.3124,0.494863,-0.176773,-0.08312,0.988593,-0.103745,-0.20811,1.43005,-0.242702,-0.294672,0.823879,-0.223379,-0.269995,0.368467,-0.201272,-0.409937,0.0610665,-0.0942678,-0.228748,1.18276,-0.316586,-0.275915,0.842247,-0.27844,-0.238406,0.829172,-0.339556,-0.31771,1.22215,-0.0449374,-0.0605603,1.22498,-0.0739859
9,0.0799283,-0.108391,1.45557,-0.082873,-0.271113,1.3778,-0.0608441,0.0952941,0.251355,0.11069,-0.192524,0.986262,0.106865,-0.199912,1.60249,0.00908341,-0.183874,1.09012,0.20489,-0.318618,1.65513,-0.0155874,-0.291409,0.775753,0.20567,-0.193255,0.932075,0.197753,0.146752,0.28627,0.0374994,-0.243351,0.472686,0.159374,-0.0726005,0.991485,-0.0420334,-0.164877,1.4415,0.10083,-0.233704,0.664062,0.156404,-0.023683,0.346608,0.144212,0.0198283,0.0932369,0.0875533,-0.186901,1.27618,0.194168,-0.27524,0.862373,0.151285,-0.223616,0.84706,0.201187,-0.238123,0.0940917,-0.150335,-0.245514,0.98602,-0.206175,-0.0747817,1.31752,-0.205737,-0.187544,1.59499,-0.139601,-0.219624,1.08624,-0.33209,-0.303951,1.6393,-0.143313,-0.296241,0.745297,-0.333539,-0.22501,0.997559,-0.338924,-0.163445,0.060039,-0.0912256,-0.306174,0.494515,-0.177864,-0.081958,0.989538,-0.105086,-0.209868,1.43098,-0.244193,-0.292903,0.823943,-0.224537,-0.262376,0.368556,-0.20216,-0.401883,0.0609322,-0.0942524,-0.23314,1.18393,-0.317957,-0.28286,0.844057,-0.278872,-0.246792,0.830488,-0.340721,-0.316228,1.22269,-0.044818,-0.0600071,1.22605,-0.0777771
10,0.0899194,-0.107826,1.45663,-0.0855371,-0.270195,1.37851,-0.0615263,0.0883255,0.253363,0.107388,-0.191444,0.987931,0.105323,-0.199112,1.60326,0.00758728,-0.178193,1.0906,0.202791,-0.318094,1.65553,-0.0157186,-0.281185,0.775112,0.205866,-0.185388,0.932522,0.196085,0.1389,0.285448,0.0322015,-0.249749,0.475222,0.159083,-0.0715451,0.992553,-0.0432714,-0.161947,1.44209,0.0988638,-0.237155,0.666256,0.155885,-0.0299971,0.349265,0.141525,0.00997755,0.0958674,0.0899858,-0.182205,1.27662,0.19242,-0.266882,0.861505,0.150454,-0.214367,0.84704,0.199898,-0.230165,0.0941739,-0.150513,-0.244268,0.986462,-0.207852,-0.0756142,1.31868,-0.209023,-0.188041,1.59604,-0.141052,-0.225114,1.08734,-0.33381,-0.304687,1.63998,-0.143673,-0.305834,0.747487,-0.333736,-0.231551,0.998714,-0.340534,-0.155624,0.0600196,-0.0913326,-0.29974,0.494215,-0.178848,-0.0809185,0.990387,-0.106282,-0.211372,1.43188,-0.245575,-0.290797,0.823889,-0.225784,-0.25484,0.368688,-0.20298,-0.393846,0.060908,-0.0943439,-0.23748,1.18511,-0.319145,-0.289867,0.845907,-0.279195,-0.255261,0.831849,-0.341784,-0.314532,1.22318,-0.0447448,-0.0591358,1.2271,-0.0816493
