Frame#,Time,C7_X,C7_Y,C7_Z,CLAV_X,CLAV_Y,CLAV_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LBHD_X,LBHD_Y,LBHD_Z,LELB_X,LELB_Y,LELB_Z,LFHD_X,LFHD_Y,LFHD_Z,LFIN_X,LFIN_Y,LFIN_Z,LFRM_X,LFRM_Y,LFRM_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTHI_X,LTHI_Y,LTHI_Z,LTIB_X,LTIB_Y,LTIB_Z,LTOE_X,LTOE_Y,LTOE_Z,LUPA_X,LUPA_Y,LUPA_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RBAK_X,RBAK_Y,RBAK_Z,RBHD_X,RBHD_Y,RBHD_Z,RELB_X,RELB_Y,RELB_Z,RFHD_X,RFHD_Y,RFHD_Z,RFIN_X,RFIN_Y,RFIN_Z,RFRM_X,RFRM_Y,RFRM_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTHI_X,RTHI_Y,RTHI_Z,RTIB_X,RTIB_Y,RTIB_Z,RTOE_X,RTOE_Y,RTOE_Z,RUPA_X,RUPA_Y,RUPA_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z,T10_X,T10_Y,T10_Z
1,0.0,-0.0880124,1.43839,-0.0271694,-0.24612,1.35334,0.00205277,-0.328745,0.0902879,0.109763,-0.201216,0.979053,0.152071,-0.18926,1.5762,0.0803798,-0.0839905,1.05386,0.237997,-0.316761,1.60801,0.0693638,-0.113794,0.722202,0.2442,-0.062178,0.898439,0.221231,-0.260212,0.0596136,0.0539066,-0.344219,0.482215,0.135294,-0.0592749,0.978949,0.0275035,-0.126269,1.40663,0.157865,-0.295924,0.663671,0.17009,-0.328822,0.233405,0.140691,-0.498984,0.0683653,0.0523253,-0.118911,1.23771,0.243982,-0.140525,0.812527,0.199783,-0.0700972,0.80865,0.224638,0.16817,0.161803,-0.128939,-0.0573857,1.30463,-0.157426,-0.188229,1.58316,-0.0687631,-0.266233,1.07651,-0.260888,-0.310456,1.60621,-0.0603602,-0.423347,0.768334,-0.222794,-0.292694,0.990822,-0.26031,0.254234,0.173223,-0.0618131,-0.119994,0.468326,-0.164546,-0.0627537,0.973922,-0.036323,-0.198227,1.41768,-0.182717,-0.214114,0.788187,-0.183455,-0.00621649,0.392039,-0.178204,0.0759755,0.0572685,-0.0550572,-0.257596,1.17536,-0.248316,-0.371657,0.858372,-0.17707,-0.356302,0.836088,-0.245583,-0.282091,1.1967,0.0142996,-0.0372082,1.20691,-0.0333753
2,0.00999102,-0.088357,1.43914,-0.0246535,-0.246844,1.35437,0.00329826,-0.321409,0.0903486,0.109424,-0.202778,0.980284,0.15394,-0.190012,1.57697,0.0824004,-0.0906697,1.05435,0.241498,-0.317382,1.60908,0.0708439,-0.122261,0.722741,0.248484,-0.0692123,0.89898,0.226013,-0.252655,0.0595713,0.0539562,-0.34345,0.481807,0.136054,-0.0602397,0.979271,0.0291488,-0.128528,1.40767,0.160173,-0.295363,0.663272,0.171852,-0.324339,0.233258,0.140502,-0.491626,0.0678319,0.0522289,-0.123671,1.23827,0.246321,-0.147978,0.813238,0.203324,-0.078317,0.80923,0.228838,0.166237,0.168196,-0.129504,-0.0567357,1.3058,-0.154971,-0.188241,1.58422,-0.0667364,-0.261107,1.07688,-0.259883,-0.310498,1.60748,-0.058825,-0.413579,0.765954,-0.226169,-0.286197,0.990833,-0.259974,0.251365,0.184741,-0.0631938,-0.129485,0.467056,-0.165944,-0.0637559,0.973932,-0.0348377,-0.197535,1.41889,-0.181011,-0.217141,0.788652,-0.182136,-0.0145487,0.392635,-0.179695,0.0806034,0.058594,-0.0554623,-0.253947,1.17588,-0.247483,-0.364801,0.8568,-0.178898,-0.347219,0.834818,-0.246914,-0.283793,1.19802,0.0151512,-0.038057,1.20782,-0.0301908
3,0.019982,-0.0886643,1.43995,-0.0221525,-0.247516,1.35541,0.00444317,-0.313711,0.0904492,0.109303,-0.204216,0.981403,0.155743,-0.190726,1.57781,0.0843429,-0.0975823,1.05503,0.245016,-0.317987,1.61016,0.0722382,-0.131157,0.723649,0.252669,-0.0771479,0.899544,0.230525,-0.244935,0.0596145,0.0538762,-0.341739,0.481222,0.136865,-0.0618156,0.979446,0.0307128,-0.130772,1.40878,0.162394,-0.294606,0.662573,0.173414,-0.318996,0.233031,0.140311,-0.484,0.0674759,0.0521345,-0.128456,1.23915,0.248875,-0.155709,0.81412,0.206856,-0.086536,0.80984,0.233501,0.163446,0.17498,-0.130238,-0.0564114,1.30683,-0.152376,-0.188221,1.58532,-0.0648072,-0.255864,1.07737,-0.258958,-0.310493,1.60876,-0.0574007,-0.403601,0.763731,-0.229422,-0.279616,0.990991,-0.259711,0.247423,0.196823,-0.0643994,-0.139537,0.465789,-0.1669,-0.0645958,0.973923,-0.0332642,-0.196714,1.4201,-0.17936,-0.220139,0.789187,-0.180809,-0.0235552,0.393307,-0.180982,0.0845474,0.0605639,-0.0561145,-0.250223,1.17648,-0.246703,-0.357835,0.855491,-0.180885,-0.337745,0.833767,-0.248069,-0.285325,1.19929,0.0158928,-0.0386534,1.20879,-0.0272418
4,0.0299731,-0.0890349,1.44078,-0.0196501,-0.248087,1.35648,0.00550444,-0.305767,0.0905165,0.109292,-0.205571,0.982392,0.1575,-0.19139,1.57871,0.0861745,-0.104516,1.05586,0.248759,-0.318573,1.61125,0.0735603,-0.140291,0.724875,0.25692,-0.0852473,0.900209,0.234937,-0.237071,0.0596986,0.0537871,-0.339035,0.480549,0.137725,-0.0629731,0.979591,0.0324219,-0.132904,1.40989,0.164538,-0.293552,0.661974,0.174657,-0.312616,0.232801,0.140287,-0.476191,0.0672578,0.0520711,-0.133308,1.24023,0.251465,-0.163677,0.815179,0.210301,-0.0949501,0.810566,0.238332,0.159954,0.182148,-0.131009,-0.0562501,1.30776,-0.149645,-0.188158,1.58652,-0.0629918,-0.250548,1.07795,-0.258109,-0.310455,1.61007,-0.056096,-0.393417,0.761675,-0.232575,-0.272966,0.99127,-0.259515,0.242489,0.20945,-0.0656259,-0.150011,0.464618,-0.16744,-0.0653144,0.973937,-0.0316205,-0.195753,1.4213,-0.177759,-0.222959,0.789802,-0.179607,-0.0331304,0.394088,-0.182039,0.0876339,0.0632242,-0.0569399,-0.246427,1.17717,-0.245962,-0.350678,0.854417,-0.183045,-0.327953,0.833007,-0.249071,-0.286674,1.20053,0.0165552,-0.0390702,1.20977,-0.0244672
5,0.0399641,-0.0894579,1.44162,-0.0170998,-0.248538,1.35759,0.00646154,-0.29807,0.090487,0.108772,-0.206868,0.98324,0.159201,-0.192014,1.57967,0.0879208,-0.111621,1.05681,0.252367,-0.319113,1.61237,0.0747341,-0.149949,0.72626,0.260987,-0.0934348,0.901009,0.23934,-0.229103,0.0597951,0.0537494,-0.335477,0.479895,0.13858,-0.0638031,0.979915,0.0342544,-0.134999,1.41099,0.166582,-0.292176,0.661795,0.175676,-0.305789,0.232547,0.140345,-0.468324,0.0671611,0.0520076,-0.138229,1.24143,0.254015,-0.171857,0.816419,0.213618,-0.103839,0.811542,0.242934,0.155841,0.189792,-0.131616,-0.0557015,1.30885,-0.146926,-0.188065,1.58769,-0.0612488,-0.245171,1.07862,-0.257343,-0.31036,1.61138,-0.0548771,-0.383098,0.759784,-0.235575,-0.266251,0.991653,-0.25937,0.23662,0.222533,-0.0667708,-0.16072,0.46373,-0.167694,-0.0658674,0.973984,-0.0299163,-0.194614,1.42249,-0.176196,-0.225492,0.790573,-0.178609,-0.0431284,0.395055,-0.182921,0.0893805,0.0666342,-0.0576019,-0.242553,1.17791,-0.24528,-0.343441,0.853463,-0.185189,-0.318475,0.832403,-0.250273,-0.287825,1.20177,0.017151,-0.0393698,1.21073,-0.0218367
6,0.0499551,-0.0895857,1.44272,-0.0145414,-0.248903,1.35871,0.00733522,-0.290241,0.0905059,0.108397,-0.20807,0.983978,0.160812,-0.192636,1.58066,0.0895728,-0.118834,1.0579,0.255806,-0.31964,1.6135,0.0757727,-0.160078,0.727751,0.265169,-0.101785,0.901936,0.243724,-0.221107,0.0598517,0.0537083,-0.331268,0.479366,0.139376,-0.0643785,0.980465,0.0361546,-0.137217,1.41223,0.168647,-0.290481,0.661998,0.176559,-0.298834,0.232311,0.140417,-0.460399,0.0671052,0.0519612,-0.143192,1.2427,0.256466,-0.180273,0.817805,0.216831,-0.112986,0.812612,0.247546,0.151203,0.198002,-0.131904,-0.0547747,1.31003,-0.144197,-0.187942,1.58886,-0.05955,-0.239725,1.07938,-0.256653,-0.31022,1.61269,-0.0537594,-0.372748,0.758094,-0.238415,-0.259493,0.992143,-0.259266,0.22961,0.235796,-0.0676631,-0.171614,0.463233,-0.167653,-0.0661633,0.974176,-0.0281448,-0.193293,1.42367,-0.174686,-0.227804,0.791607,-0.177657,-0.0534315,0.396306,-0.183701,0.0898987,0.0705484,-0.0584163,-0.238612,1.17869,-0.244613,-0.336152,0.852619,-0.187345,-0.309248,0.83194,-0.251614,-0.288726,1.20301,0.0176773,-0.0395383,1.21168,-0.0193324
7,0.0599461,-0.0897601,1.4438,-0.0119731,-0.249222,1.35987,0.00813828,-0.282289,0.0905511,0.108236,-0.209155,0.984675,0.162263,-0.193262,1.58171,0.0911428,-0.12612,1.05908,0.259142,-0.320154,1.61468,0.0767089,-0.170656,0.729283,0.269588,-0.110324,0.902954,0.248072,-0.213079,0.0598819,0.0536759,-0.326614,0.479016,0.140132,-0.0647928,0.981215,0.0380524,-0.139449,1.41351,0.17066,-0.288368,0.662282,0.17732,-0.291874,0.232148,0.140555,-0.452358,0.0669435,0.0520038,-0.148188,1.24403,0.258809,-0.189054,0.819351,0.22001,-0.122547,0.813893,0.251954,0.146094,0.206302,-0.131885,-0.0536043,1.31122,-0.141385,-0.187764,1.59005,-0.0579343,-0.234245,1.08019,-0.256036,-0.310039,1.61401,-0.0527833,-0.362402,0.756625,-0.24111,-0.252741,0.992729,-0.259208,0.220975,0.24877,-0.0682201,-0.182558,0.463116,-0.167213,-0.0662046,0.974623,-0.0263056,-0.191785,1.42484,-0.173235,-0.229985,0.792802,-0.176762,-0.0639297,0.397904,-0.184367,0.0888294,0.0745138,-0.0596211,-0.234625,1.1795,-0.243932,-0.328758,0.851881,-0.189355,-0.300088,0.831652,-0.252938,-0.289277,1.20422,0.0181239,-0.0395019,1.2127,-0.0168969
8,0.0699372,-0.089995,1.44487,-0.00941547,-0.2495,1.36102,0.00884761,-0.27435,0.0905771,0.108119,-0.210154,0.985409,0.163519,-0.193877,1.58281,0.0926063,-0.133407,1.06037,0.262396,-0.320669,1.6159,0.0774994,-0.181391,0.731095,0.27378,-0.119043,0.904028,0.252336,-0.205097,0.0598851,0.0536458,-0.321823,0.478731,0.140868,-0.0650374,0.98216,0.0399116,-0.141705,1.41482,0.172611,-0.285851,0.662453,0.177954,-0.285117,0.232174,0.140844,-0.44429,0.0668247,0.0520233,-0.153228,1.24541,0.260973,-0.198269,0.821068,0.223202,-0.132299,0.815243,0.256333,0.140623,0.214287,-0.131532,-0.0522192,1.31238,-0.138461,-0.187564,1.59129,-0.0564389,-0.228742,1.08107,-0.255504,-0.309811,1.61533,-0.0519288,-0.352087,0.755376,-0.243665,-0.245951,0.993396,-0.259186,0.210223,0.261496,-0.0688323,-0.193406,0.463508,-0.166671,-0.0660215,0.975365,-0.0244725,-0.190085,1.42601,-0.171864,-0.232101,0.794183,-0.175844,-0.0743797,0.399859,-0.184719,0.085843,0.077226,-0.0613104,-0.23056,1.18034,-0.243259,-0.321285,0.851253,-0.191251,-0.290962,0.83156,-0.254187,-0.289515,1.2054,0.0185037,-0.0392352,1.2138,-0.014419
9,0.0799282,-0.0900338,1.44607,-0.00689321,-0.249686,1.36217,0.00944073,-0.266435,0.0905921,0.108068,-0.211061,0.986248,0.16457,-0.194517,1.58397,0.0939768,-0.140559,1.0617,0.265735,-0.321219,1.61712,0.07815,-0.19228,0.733215,0.277655,-0.127882,0.905189,0.256517,-0.197202,0.0599146,0.0536414,-0.317052,0.478385,0.141501,-0.0651397,0.983293,0.0416624,-0.14404,1.41622,0.174535,-0.28312,0.662553,0.178487,-0.278496,0.232226,0.141101,-0.436246,0.0667544,0.0520296,-0.158287,1.24681,0.262969,-0.207453,0.822961,0.226142,-0.1422,0.816668,0.260651,0.134619,0.221613,-0.130962,-0.0506242,1.31353,-0.135444,-0.187345,1.59255,-0.0550274,-0.223191,1.08201,-0.255026,-0.309567,1.61665,-0.0511888,-0.34186,0.754383,-0.246098,-0.239127,0.994128,-0.259182,0.198151,0.273256,-0.0692187,-0.204062,0.464433,-0.166158,-0.0656213,0.97634,-0.0227451,-0.188195,1.42719,-0.170593,-0.234112,0.795805,-0.174911,-0.0846682,0.402043,-0.184662,0.0816252,0.0780274,-0.0633089,-0.226392,1.18121,-0.242617,-0.313717,0.850752,-0.193077,-0.281929,0.831684,-0.255459,-0.289818,1.20654,0.0188172,-0.0389534,1.215,-0.0118077
10,0.0899192,-0.090055,1.44729,-0.00441409,-0.249792,1.36333,0.00992813,-0.258382,0.0906566,0.10818,-0.211655,0.987204,0.165433,-0.195166,1.58516,0.0953109,-0.147748,1.06311,0.268931,-0.321773,1.61833,0.0786591,-0.203798,0.735428,0.281603,-0.136822,0.906448,0.260624,-0.189333,0.059984,0.0536545,-0.312268,0.478071,0.141935,-0.0651518,0.984588,0.0432066,-0.146269,1.41758,0.17633,-0.28031,0.662683,0.178948,-0.271941,0.232236,0.141299,-0.428215,0.0667086,0.0520147,-0.163285,1.24826,0.264955,-0.2165,0.824996,0.228855,-0.152301,0.818157,0.264865,0.127925,0.228009,-0.130386,-0.048859,1.31468,-0.13239,-0.187094,1.5938,-0.0536903,-0.217593,1.08301,-0.254595,-0.309329,1.61792,-0.0506019,-0.331772,0.753636,-0.248393,-0.232302,0.994939,-0.259184,0.186831,0.282703,-0.0684176,-0.214467,0.465849,-0.165649,-0.0650085,0.977483,-0.0211568,-0.186151,1.42836,-0.169409,-0.236093,0.797653,-0.173996,-0.0946658,0.404433,-0.184183,0.0775621,0.0777889,-0.0652339,-0.222123,1.1821,-0.242072,-0.306075,0.850353,-0.194822,-0.272965,0.831958,-0.256702,-0.28968,1.20766,0.0190261,-0.0383979,1.21632,-0.00902989
