Frame#,Time,C7_X,C7_Y,C7_Z,CLAV_X,CLAV_Y,CLAV_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LBHD_X,LBHD_Y,LBHD_Z,LELB_X,LELB_Y,LELB_Z,LFHD_X,LFHD_Y,LFHD_Z,LFIN_X,LFIN_Y,LFIN_Z,LFRM_X,LFRM_Y,LFRM_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTHI_X,LTHI_Y,LTHI_Z,LTIB_X,LTIB_Y,LTIB_Z,LTOE_X,LTOE_Y,LTOE_Z,LUPA_X,LUPA_Y,LUPA_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RBAK_X,RBAK_Y,RBAK_Z,RBHD_X,RBHD_Y,RBHD_Z,RELB_X,RELB_Y,RELB_Z,RFHD_X,RFHD_Y,RFHD_Z,RFIN_X,RFIN_Y,RFIN_Z,RFRM_X,RFRM_Y,RFRM_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTHI_X,RTHI_Y,RTHI_Z,RTIB_X,RTIB_Y,RTIB_Z,RTOE_X,RTOE_Y,RTOE_Z,RUPA_X,RUPA_Y,RUPA_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z,T10_X,T10_Y,T10_Z
1,0.0,-0.192457,1.4673,0.0318943,-0.35566,1.38448,0.0291956,-0.188902,0.0952275,0.223758,-0.28266,0.99185,0.194691,-0.297195,1.60815,0.117084,-0.198375,1.13743,0.359935,-0.417023,1.65371,0.0819807,-0.183486,0.81529,0.446429,-0.151531,0.988603,0.387387,-0.120149,0.0615463,0.166099,-0.268189,0.47857,0.219042,-0.138831,1.0149,0.0743103,-0.266187,1.44715,0.207087,-0.270165,0.665026,0.233864,-0.203578,0.245291,0.240804,-0.360418,0.0643848,0.183994,-0.259858,1.30117,0.312485,-0.20977,0.886546,0.374545,-0.147625,0.901161,0.412972,-0.183943,0.10019,-0.167919,-0.270106,0.984839,-0.122479,-0.132326,1.33517,-0.0810555,-0.27049,1.60968,-0.0311552,-0.177435,1.14009,-0.274586,-0.388177,1.64642,-0.0441459,-0.13515,0.807995,-0.377273,-0.152511,1.05822,-0.300412,-0.118626,0.0600476,-0.0983392,-0.253965,0.500045,-0.147245,-0.134313,1.00748,0.0108771,-0.263238,1.4452,-0.146417,-0.274831,0.824859,-0.160666,-0.20052,0.385314,-0.17686,-0.349072,0.0624896,-0.153156,-0.218988,1.22409,-0.246861,-0.173344,0.884574,-0.299769,-0.114879,0.898522,-0.341764,-0.391461,1.22502,0.0358176,-0.142178,1.23881,0.0418692
2,0.00997519,-0.192108,1.46726,0.0310132,-0.355282,1.38441,0.0289399,-0.18894,0.0952598,0.223725,-0.281995,0.991857,0.194499,-0.296651,1.60797,0.116532,-0.19877,1.13659,0.358814,-0.416267,1.65431,0.081592,-0.188181,0.81406,0.443901,-0.153756,0.987102,0.385787,-0.120156,0.0615834,0.166083,-0.268792,0.47863,0.218987,-0.138347,1.01464,0.0738177,-0.26521,1.44719,0.20649,-0.269916,0.665106,0.233672,-0.204016,0.245351,0.240637,-0.360433,0.0643745,0.183987,-0.259128,1.30097,0.311804,-0.213499,0.885974,0.372339,-0.151155,0.899634,0.410001,-0.183929,0.100142,-0.168033,-0.270157,0.984817,-0.122823,-0.132428,1.33502,-0.0821466,-0.270205,1.60943,-0.0318478,-0.178392,1.13899,-0.274349,-0.387718,1.64689,-0.0445447,-0.13978,0.805843,-0.375073,-0.154136,1.05669,-0.29967,-0.118676,0.0600706,-0.0983758,-0.253504,0.500055,-0.147142,-0.133609,1.0071,0.0105501,-0.263454,1.44492,-0.147017,-0.274759,0.8248,-0.160864,-0.199897,0.385427,-0.176969,-0.349131,0.0624188,-0.153167,-0.219661,1.22327,-0.24685,-0.176607,0.883236,-0.297518,-0.11841,0.89637,-0.33989,-0.390193,1.22502,0.0357343,-0.141435,1.23891,0.0407738
3,0.0199504,-0.191665,1.4672,0.0301546,-0.35489,1.38439,0.0286943,-0.188971,0.0952964,0.223704,-0.281395,0.991903,0.194272,-0.296029,1.60785,0.115954,-0.199064,1.136,0.357837,-0.415418,1.65486,0.0812033,-0.193685,0.81296,0.441397,-0.156239,0.985471,0.383936,-0.120171,0.0616206,0.16608,-0.269296,0.478696,0.218926,-0.137902,1.01448,0.0733405,-0.264205,1.4472,0.205936,-0.269848,0.665126,0.233527,-0.204562,0.245333,0.240287,-0.360455,0.0643776,0.183973,-0.258611,1.30063,0.310936,-0.217537,0.885329,0.369754,-0.154727,0.898333,0.406949,-0.183917,0.100036,-0.168156,-0.270119,0.984882,-0.123156,-0.13248,1.33481,-0.0831837,-0.269802,1.60918,-0.0324585,-0.179627,1.13776,-0.274039,-0.387143,1.64734,-0.0449891,-0.144742,0.803499,-0.371968,-0.156119,1.05499,-0.298808,-0.118703,0.0600873,-0.0983771,-0.25295,0.500103,-0.147079,-0.133256,1.00698,0.0100975,-0.263508,1.44462,-0.147552,-0.274615,0.824782,-0.161072,-0.199343,0.385494,-0.177037,-0.349168,0.0623639,-0.153195,-0.220516,1.22239,-0.246768,-0.180326,0.881745,-0.294792,-0.122403,0.893975,-0.33791,-0.389457,1.22499,0.0356824,-0.140713,1.23893,0.0397075
4,0.0299256,-0.191165,1.46713,0.0293452,-0.354468,1.3844,0.0284645,-0.189003,0.0953327,0.223696,-0.280877,0.991971,0.194023,-0.295268,1.6078,0.115248,-0.199502,1.13526,0.356686,-0.414491,1.65541,0.0808044,-0.199502,0.811766,0.438315,-0.158991,0.983719,0.381832,-0.120201,0.0616402,0.166076,-0.269683,0.478755,0.218853,-0.137525,1.0144,0.0729044,-0.263192,1.44719,0.205422,-0.269988,0.665091,0.23344,-0.204941,0.245331,0.240149,-0.360475,0.0643777,0.18396,-0.258171,1.30029,0.310145,-0.221896,0.884665,0.366793,-0.158936,0.896257,0.404648,-0.183911,0.100017,-0.168172,-0.269875,0.985107,-0.123344,-0.132482,1.33456,-0.084171,-0.269308,1.60897,-0.0330677,-0.181121,1.13643,-0.273646,-0.38644,1.64777,-0.0454382,-0.150412,0.800824,-0.368521,-0.158472,1.05326,-0.298065,-0.118725,0.0600937,-0.0983829,-0.252332,0.500174,-0.147059,-0.13306,1.00698,0.00962321,-0.263634,1.44437,-0.148165,-0.274566,0.824817,-0.161381,-0.198774,0.385529,-0.177084,-0.349176,0.0623165,-0.153237,-0.221572,1.22145,-0.246615,-0.184453,0.880263,-0.291902,-0.126821,0.891462,-0.335753,-0.388952,1.22498,0.0357182,-0.14008,1.23887,0.0386775
5,0.0399007,-0.190659,1.46708,0.028612,-0.354012,1.38446,0.0282327,-0.189031,0.0953701,0.223694,-0.280424,0.992013,0.193782,-0.294465,1.60778,0.114619,-0.20012,1.13433,0.355368,-0.413469,1.65596,0.0803941,-0.205818,0.810445,0.434844,-0.162097,0.981867,0.379522,-0.120226,0.061662,0.166078,-0.269944,0.478809,0.21877,-0.137194,1.0144,0.072524,-0.262174,1.44721,0.204945,-0.270011,0.665137,0.233331,-0.205158,0.245355,0.240145,-0.360492,0.0643765,0.183952,-0.257853,1.29996,0.309464,-0.226524,0.884008,0.363471,-0.163039,0.894751,0.401511,-0.183861,0.0999372,-0.168298,-0.269457,0.985519,-0.123436,-0.13242,1.33431,-0.0850841,-0.268692,1.60877,-0.0336702,-0.182873,1.135,-0.273191,-0.385634,1.64817,-0.0458799,-0.156644,0.798069,-0.365168,-0.16116,1.05135,-0.297125,-0.11874,0.060094,-0.09837,-0.2517,0.500244,-0.147071,-0.132987,1.00707,0.00914229,-0.26383,1.44416,-0.148849,-0.274455,0.824864,-0.161658,-0.198156,0.385516,-0.17708,-0.349178,0.0622836,-0.153267,-0.222786,1.22043,-0.246401,-0.188922,0.878769,-0.288867,-0.131678,0.888833,-0.333418,-0.388518,1.22502,0.0358602,-0.139582,1.23876,0.0376978
6,0.0498759,-0.190105,1.46704,0.027911,-0.353511,1.38454,0.0279903,-0.189049,0.0954014,0.223692,-0.279995,0.992048,0.193556,-0.293668,1.60784,0.113813,-0.200851,1.13332,0.353984,-0.412385,1.6565,0.0800024,-0.212601,0.809085,0.430972,-0.165581,0.979944,0.377032,-0.120248,0.0616896,0.16608,-0.270056,0.478857,0.218671,-0.136871,1.01445,0.0721684,-0.261226,1.44724,0.204495,-0.270145,0.66512,0.23327,-0.205247,0.245385,0.240154,-0.3605,0.0643666,0.183947,-0.257661,1.29954,0.30865,-0.231395,0.883371,0.359813,-0.167991,0.893185,0.397916,-0.183808,0.0998793,-0.168391,-0.268959,0.986002,-0.12348,-0.132335,1.33404,-0.0859407,-0.267982,1.60862,-0.0342203,-0.184896,1.13344,-0.27266,-0.384772,1.64855,-0.0463025,-0.163326,0.795293,-0.361468,-0.164178,1.04925,-0.295959,-0.118741,0.0600916,-0.0983465,-0.25109,0.500299,-0.147162,-0.133032,1.00726,0.00865739,-0.26386,1.44389,-0.149474,-0.274285,0.824906,-0.161882,-0.197589,0.385466,-0.176963,-0.349176,0.0622727,-0.153287,-0.224165,1.21934,-0.246136,-0.193687,0.877219,-0.285656,-0.136985,0.8861,-0.330884,-0.388119,1.2251,0.0360723,-0.139101,1.23865,0.0368044
7,0.0598511,-0.18951,1.46698,0.0272743,-0.35296,1.38466,0.0277416,-0.189052,0.0954174,0.223698,-0.279609,0.992094,0.193338,-0.292821,1.60795,0.112803,-0.20169,1.13227,0.352529,-0.411205,1.65702,0.0796388,-0.219788,0.80773,0.426668,-0.169151,0.977965,0.37437,-0.120246,0.0617072,0.166084,-0.269975,0.478881,0.218517,-0.136542,1.0145,0.0718097,-0.260394,1.4473,0.2041,-0.270399,0.665057,0.23322,-0.205237,0.245416,0.24015,-0.360496,0.0643644,0.183948,-0.257542,1.29907,0.307742,-0.236439,0.882839,0.355927,-0.173549,0.890985,0.394697,-0.183746,0.0998206,-0.168411,-0.268458,0.986456,-0.123512,-0.132259,1.33375,-0.0867734,-0.267172,1.6085,-0.0347586,-0.187173,1.1318,-0.272047,-0.383829,1.6489,-0.0467136,-0.170628,0.79252,-0.357268,-0.167519,1.04712,-0.294777,-0.11873,0.0600762,-0.0983332,-0.250529,0.500357,-0.147347,-0.132816,1.00736,0.00829322,-0.263669,1.44358,-0.15002,-0.274092,0.824928,-0.162073,-0.197064,0.385482,-0.17695,-0.349155,0.0622718,-0.153305,-0.225754,1.21818,-0.245805,-0.198819,0.875628,-0.282001,-0.142663,0.883296,-0.328163,-0.387776,1.22521,0.0362978,-0.13859,1.23854,0.0360047
8,0.0698263,-0.188869,1.46692,0.0266786,-0.352384,1.38481,0.027485,-0.189044,0.095417,0.223711,-0.279298,0.992154,0.193144,-0.29161,1.60803,0.112386,-0.202661,1.1312,0.351048,-0.409951,1.65754,0.0792814,-0.227355,0.806432,0.42194,-0.172842,0.97599,0.371569,-0.120236,0.0617015,0.16609,-0.269746,0.478869,0.218287,-0.136209,1.01455,0.0714566,-0.259653,1.44739,0.20376,-0.269691,0.665239,0.232804,-0.20517,0.245439,0.240142,-0.36049,0.0643737,0.183939,-0.257469,1.29863,0.30687,-0.241642,0.882435,0.351773,-0.179454,0.888692,0.391078,-0.183635,0.0996874,-0.168384,-0.268008,0.986819,-0.123559,-0.132163,1.33343,-0.0875587,-0.266276,1.60842,-0.0353191,-0.189694,1.13009,-0.271348,-0.382812,1.64926,-0.047109,-0.178367,0.789647,-0.352579,-0.171132,1.04491,-0.293438,-0.118738,0.0600643,-0.0983345,-0.25002,0.500367,-0.147431,-0.132385,1.00739,0.00800499,-0.263278,1.44326,-0.150525,-0.273914,0.824938,-0.16226,-0.196598,0.385533,-0.177074,-0.349138,0.0622828,-0.153327,-0.227518,1.21699,-0.24539,-0.204343,0.874022,-0.277868,-0.148657,0.88045,-0.325269,-0.387464,1.22534,0.0364944,-0.1381,1.23846,0.0353269
9,0.0798015,-0.188153,1.46682,0.0261266,-0.351774,1.38499,0.0272084,-0.189027,0.0954124,0.223719,-0.278987,0.992236,0.192917,-0.290331,1.6081,0.112164,-0.203736,1.13013,0.349579,-0.408635,1.65806,0.0789236,-0.235274,0.805254,0.416788,-0.176716,0.974061,0.368634,-0.12023,0.0616873,0.166096,-0.269468,0.478886,0.218111,-0.13583,1.01456,0.0711185,-0.258992,1.44751,0.20344,-0.26734,0.665866,0.231763,-0.205064,0.245452,0.240143,-0.360477,0.0643904,0.183924,-0.257443,1.29822,0.306046,-0.247009,0.882142,0.347208,-0.185523,0.886395,0.387329,-0.183494,0.099534,-0.168313,-0.26765,0.987041,-0.123642,-0.132002,1.3331,-0.0882724,-0.26531,1.60837,-0.0358817,-0.192396,1.12835,-0.270534,-0.381733,1.64963,-0.0474786,-0.186487,0.786746,-0.347502,-0.174996,1.04272,-0.29203,-0.118754,0.060034,-0.0983305,-0.249592,0.500351,-0.147463,-0.132161,1.00747,0.0076503,-0.262874,1.443,-0.151066,-0.273761,0.82493,-0.16243,-0.196214,0.385571,-0.177254,-0.349123,0.0622845,-0.153349,-0.2293,1.21586,-0.244859,-0.210256,0.872445,-0.273437,-0.155192,0.877539,-0.322105,-0.387133,1.2255,0.0366349,-0.137659,1.23842,0.0347903
10,0.0897767,-0.187411,1.46672,0.0256245,-0.35115,1.3852,0.0269104,-0.189006,0.0953952,0.223721,-0.278522,0.992332,0.192676,-0.289039,1.60818,0.112054,-0.20486,1.12907,0.348153,-0.407235,1.65858,0.0785933,-0.243489,0.804254,0.411153,-0.180767,0.972184,0.365543,-0.120219,0.0616803,0.166104,-0.269175,0.478904,0.21798,-0.135395,1.01455,0.0708266,-0.258414,1.44764,0.203107,-0.266115,0.666147,0.231212,-0.204879,0.245468,0.240218,-0.360459,0.0644044,0.183918,-0.257504,1.29785,0.305243,-0.252489,0.882021,0.342301,-0.191427,0.884618,0.383093,-0.183486,0.0996135,-0.168308,-0.267416,0.987084,-0.123777,-0.131757,1.33276,-0.0889467,-0.264301,1.60831,-0.0363791,-0.195199,1.12657,-0.269613,-0.380552,1.65,-0.0478252,-0.194983,0.783946,-0.342139,-0.179053,1.04051,-0.290455,-0.118745,0.0600223,-0.0983213,-0.249296,0.500314,-0.147518,-0.131903,1.00751,0.00733505,-0.262458,1.44278,-0.151619,-0.273623,0.824922,-0.162572,-0.195983,0.385479,-0.177309,-0.349098,0.0622749,-0.153362,-0.231217,1.21471,-0.244251,-0.216371,0.870995,-0.268948,-0.16219,0.87471,-0.31875,-0.386756,1.2257,0.0366758,-0.137242,1.23839,0.0343793
