Frame#,Time,C7_X,C7_Y,C7_Z,CLAV_X,CLAV_Y,CLAV_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LBHD_X,LBHD_Y,LBHD_Z,LELB_X,LELB_Y,LELB_Z,LFHD_X,LFHD_Y,LFHD_Z,LFIN_X,LFIN_Y,LFIN_Z,LFRM_X,LFRM_Y,LFRM_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTHI_X,LTHI_Y,LTHI_Z,LTIB_X,LTIB_Y,LTIB_Z,LTOE_X,LTOE_Y,LTOE_Z,LUPA_X,LUPA_Y,LUPA_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RBAK_X,RBAK_Y,RBAK_Z,RBHD_X,RBHD_Y,RBHD_Z,RELB_X,RELB_Y,RELB_Z,RFHD_X,RFHD_Y,RFHD_Z,RFIN_X,RFIN_Y,RFIN_Z,RFRM_X,RFRM_Y,RFRM_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTHI_X,RTHI_Y,RTHI_Z,RTIB_X,RTIB_Y,RTIB_Z,RTOE_X,RTOE_Y,RTOE_Z,RUPA_X,RUPA_Y,RUPA_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z,T10_X,T10_Y,T10_Z
1,0.0,-0.21951,1.45267,0.00326981,-0.386194,1.38127,0.00660572,-0.25309,0.0934061,0.226853,-0.312837,0.98303,0.175455,-0.298923,1.59834,0.0906738,-0.336237,1.0922,0.282588,-0.410372,1.66544,0.064124,-0.48152,0.799041,0.221162,-0.362163,0.9365,0.258578,-0.182113,0.0604881,0.172598,-0.366835,0.474113,0.221454,-0.175735,1.00262,0.0495101,-0.294596,1.44112,0.182009,-0.338214,0.660915,0.227807,-0.283992,0.241521,0.244396,-0.422599,0.0651993,0.178841,-0.334157,1.27757,0.270516,-0.434908,0.883872,0.187981,-0.403961,0.855755,0.246558,-0.260895,0.0997408,-0.204457,-0.173996,1.31866,-0.115536,-0.282921,1.59442,-0.0578658,-0.32626,1.09338,-0.258492,-0.392842,1.65224,-0.0633612,-0.443664,0.768682,-0.214498,-0.341948,1.0049,-0.256637,-0.191152,0.0595387,-0.136498,-0.359752,0.497631,-0.187428,-0.173168,0.996596,-0.0135615,-0.302815,1.43497,-0.172033,-0.334303,0.824194,-0.182388,-0.306453,0.380374,-0.220041,-0.424792,0.0626006,-0.179105,-0.329591,1.19234,-0.245658,-0.406636,0.867671,-0.173036,-0.379896,0.840797,-0.235177,-0.425568,1.22127,0.0164124,-0.176881,1.22432,0.0118814
2,0.00997596,-0.219808,1.45134,0.00355724,-0.386355,1.37949,0.00684989,-0.253111,0.0933782,0.226918,-0.311458,0.981739,0.175582,-0.299508,1.59669,0.0909909,-0.338161,1.09048,0.282625,-0.411032,1.6637,0.0646226,-0.487753,0.800272,0.217639,-0.366358,0.935301,0.257254,-0.181927,0.0604451,0.172548,-0.369328,0.473348,0.222753,-0.174399,1.00113,0.0498328,-0.294839,1.43943,0.182198,-0.339167,0.66018,0.228679,-0.28592,0.240851,0.244814,-0.42257,0.0652035,0.178886,-0.33504,1.2758,0.27049,-0.439339,0.884527,0.185568,-0.409394,0.855529,0.244489,-0.26077,0.0994413,-0.204437,-0.174147,1.31752,-0.115547,-0.283605,1.59287,-0.0575754,-0.328084,1.09195,-0.2582,-0.393443,1.65054,-0.0628098,-0.450103,0.769258,-0.211594,-0.345084,1.00365,-0.256006,-0.191179,0.0595486,-0.136501,-0.362763,0.497034,-0.18932,-0.17174,0.995005,-0.0132196,-0.303101,1.43341,-0.171699,-0.333105,0.823253,-0.182588,-0.30902,0.379746,-0.221321,-0.424795,0.062576,-0.179167,-0.330984,1.19099,-0.245539,-0.411458,0.868073,-0.170828,-0.385305,0.840259,-0.233012,-0.425281,1.21929,0.0165627,-0.176237,1.22321,0.012181
3,0.0199519,-0.22011,1.44995,0.00379018,-0.386511,1.37759,0.00708671,-0.253117,0.0933182,0.227018,-0.310123,0.980344,0.175714,-0.300091,1.59494,0.0913241,-0.340151,1.0886,0.282629,-0.411694,1.66188,0.0651135,-0.49395,0.801541,0.214023,-0.370562,0.933993,0.255908,-0.181864,0.0604143,0.172551,-0.3718,0.472587,0.224232,-0.173077,0.999533,0.0501192,-0.295359,1.43761,0.182568,-0.340001,0.659327,0.229935,-0.286932,0.24028,0.245652,-0.422522,0.0652505,0.178954,-0.335947,1.27385,0.270416,-0.443721,0.885135,0.182971,-0.414863,0.855134,0.242141,-0.260787,0.0994516,-0.204573,-0.174274,1.31622,-0.115556,-0.284292,1.59125,-0.0572831,-0.33031,1.09035,-0.258168,-0.394163,1.6488,-0.0623204,-0.456538,0.769915,-0.208514,-0.348313,1.00224,-0.255344,-0.191186,0.0595267,-0.136526,-0.365428,0.496327,-0.190992,-0.170306,0.993294,-0.0129384,-0.303597,1.43176,-0.17151,-0.331808,0.822225,-0.182849,-0.31127,0.379046,-0.222516,-0.424779,0.0625498,-0.17924,-0.332437,1.18944,-0.245422,-0.416321,0.868426,-0.168658,-0.390757,0.839613,-0.230753,-0.424954,1.21718,0.0167163,-0.175602,1.22196,0.0124726
4,0.0299279,-0.220424,1.44852,0.00396708,-0.386652,1.37556,0.00730275,-0.253115,0.0932612,0.227145,-0.308807,0.978837,0.175891,-0.300673,1.59312,0.0916556,-0.342211,1.08656,0.282607,-0.412352,1.65998,0.0655912,-0.500113,0.802822,0.21036,-0.374765,0.932615,0.254526,-0.181855,0.0603782,0.172566,-0.374143,0.47176,0.225856,-0.171746,0.997826,0.0503417,-0.295817,1.43566,0.182915,-0.340739,0.658365,0.231545,-0.287615,0.239791,0.24645,-0.422463,0.0653228,0.179044,-0.336982,1.27176,0.270428,-0.448066,0.885695,0.180221,-0.420329,0.854632,0.239708,-0.260871,0.0995968,-0.204797,-0.174383,1.31476,-0.115564,-0.284992,1.58955,-0.0569636,-0.332554,1.0886,-0.25818,-0.394948,1.647,-0.0618422,-0.462987,0.770643,-0.205279,-0.351587,1.0007,-0.254647,-0.191173,0.0595046,-0.136545,-0.367881,0.495666,-0.192737,-0.168774,0.991401,-0.0126236,-0.304184,1.43,-0.171417,-0.330646,0.821087,-0.182988,-0.313335,0.378292,-0.223696,-0.42475,0.0625248,-0.17932,-0.333935,1.18772,-0.245312,-0.421202,0.868718,-0.166422,-0.396223,0.838927,-0.228388,-0.424596,1.21493,0.0168562,-0.174959,1.22057,0.0127536
5,0.0399038,-0.22076,1.44703,0.00408369,-0.386761,1.37346,0.00749934,-0.253129,0.0932121,0.227288,-0.307461,0.977231,0.176071,-0.30124,1.59124,0.0919434,-0.344317,1.0844,0.282558,-0.413001,1.65798,0.0660735,-0.506229,0.804049,0.206792,-0.378982,0.931195,0.253084,-0.181863,0.0603435,0.172583,-0.376481,0.47091,0.227607,-0.170331,0.996048,0.050524,-0.296165,1.43361,0.183211,-0.341327,0.657281,0.233006,-0.288318,0.2394,0.246787,-0.422406,0.065395,0.179144,-0.338023,1.26957,0.270404,-0.452388,0.886223,0.177585,-0.425747,0.854071,0.237201,-0.260881,0.0996069,-0.204959,-0.174466,1.31321,-0.115593,-0.285723,1.5878,-0.0566251,-0.334762,1.08673,-0.258152,-0.395749,1.64513,-0.0613872,-0.469514,0.771307,-0.202001,-0.354896,0.999046,-0.253918,-0.191176,0.0594728,-0.136558,-0.370012,0.49504,-0.194317,-0.167074,0.989339,-0.0122646,-0.304664,1.42807,-0.171329,-0.329484,0.819886,-0.183197,-0.315151,0.377505,-0.224749,-0.424713,0.0625138,-0.179399,-0.335434,1.18587,-0.245228,-0.426031,0.868935,-0.164063,-0.401673,0.838343,-0.225942,-0.424227,1.21254,0.0169682,-0.174308,1.21911,0.013001
6,0.0498798,-0.221124,1.4455,0.00413118,-0.386838,1.37132,0.00767035,-0.253173,0.0931731,0.227451,-0.306094,0.975559,0.176278,-0.301811,1.58928,0.092233,-0.346433,1.08218,0.282505,-0.413654,1.6559,0.0665504,-0.512242,0.80533,0.203206,-0.383272,0.9297,0.251477,-0.181859,0.060349,0.172584,-0.379077,0.470085,0.229407,-0.168873,0.994232,0.0507017,-0.296435,1.43146,0.183447,-0.341801,0.656264,0.234087,-0.289171,0.239009,0.247204,-0.422365,0.0654523,0.179243,-0.339026,1.2673,0.270315,-0.456675,0.88675,0.175034,-0.431146,0.853508,0.234521,-0.260841,0.0995483,-0.205069,-0.174543,1.31157,-0.115691,-0.286461,1.58602,-0.0563405,-0.336915,1.08473,-0.258023,-0.39653,1.64322,-0.0609473,-0.476125,0.771983,-0.198694,-0.358268,0.997319,-0.253152,-0.19116,0.0594365,-0.136569,-0.37192,0.494439,-0.195671,-0.165599,0.987342,-0.0120563,-0.305215,1.42607,-0.171319,-0.328523,0.818603,-0.183252,-0.316988,0.37671,-0.2259,-0.424687,0.0625096,-0.179477,-0.33695,1.18395,-0.245184,-0.430928,0.869196,-0.161678,-0.407004,0.837775,-0.223385,-0.423811,1.21008,0.0170743,-0.173648,1.21763,0.0132014
7,0.0598558,-0.221501,1.44388,0.00411545,-0.386905,1.36913,0.00780994,-0.253255,0.0931352,0.227628,-0.30474,0.973807,0.176521,-0.302369,1.58724,0.0925267,-0.348578,1.07996,0.282423,-0.414286,1.65372,0.0670307,-0.518145,0.806743,0.199562,-0.387504,0.928221,0.249913,-0.181851,0.0603756,0.172578,-0.382019,0.469251,0.23117,-0.16743,0.992366,0.0508805,-0.296596,1.42925,0.183599,-0.34244,0.6553,0.235123,-0.290251,0.238613,0.247939,-0.422346,0.0655044,0.179336,-0.340011,1.26501,0.270199,-0.460874,0.887296,0.172464,-0.436443,0.853065,0.231989,-0.260806,0.0994925,-0.205152,-0.174667,1.30987,-0.115891,-0.287189,1.58416,-0.0561486,-0.339115,1.08267,-0.257851,-0.397294,1.64122,-0.0605058,-0.482804,0.77276,-0.195331,-0.361756,0.995581,-0.252415,-0.19112,0.0594144,-0.136568,-0.374131,0.493707,-0.197269,-0.164368,0.985464,-0.0119872,-0.305824,1.42401,-0.171374,-0.327529,0.81737,-0.183295,-0.31884,0.375937,-0.227015,-0.424641,0.0625037,-0.179542,-0.338457,1.18196,-0.245151,-0.435842,0.869491,-0.159279,-0.412744,0.837085,-0.220801,-0.423351,1.20763,0.0171712,-0.172979,1.21616,0.0133526
8,0.0698317,-0.221848,1.4422,0.00407323,-0.386985,1.3669,0.0079198,-0.253346,0.0930789,0.227803,-0.303385,0.971986,0.176825,-0.302918,1.58509,0.0927721,-0.350724,1.07776,0.282332,-0.414924,1.65145,0.067499,-0.523994,0.808282,0.195894,-0.391649,0.926843,0.248408,-0.181867,0.0603785,0.172588,-0.385025,0.468448,0.232989,-0.166005,0.990458,0.0511336,-0.296652,1.427,0.183663,-0.343358,0.654287,0.236338,-0.291526,0.238202,0.248793,-0.422345,0.0655513,0.179419,-0.340951,1.26273,0.270072,-0.465021,0.887878,0.169888,-0.441703,0.852642,0.229435,-0.260797,0.0994746,-0.205212,-0.174847,1.30816,-0.116211,-0.287888,1.58221,-0.0559721,-0.341438,1.08061,-0.257697,-0.398064,1.63913,-0.0600934,-0.489481,0.773662,-0.1919,-0.365411,0.99386,-0.25172,-0.191101,0.0594046,-0.136569,-0.37626,0.493013,-0.198823,-0.163063,0.983541,-0.0118161,-0.306342,1.42185,-0.171404,-0.326482,0.816184,-0.183323,-0.320676,0.375165,-0.228148,-0.42459,0.0625099,-0.179593,-0.339973,1.17996,-0.245118,-0.440753,0.869832,-0.156867,-0.418694,0.836345,-0.218299,-0.42286,1.20521,0.0172686,-0.172316,1.21468,0.0134282
9,0.0798077,-0.22214,1.4404,0.00400447,-0.387084,1.36461,0.00800298,-0.253415,0.0930312,0.227947,-0.302036,0.970106,0.177159,-0.303456,1.58285,0.0930367,-0.352855,1.07562,0.282241,-0.41559,1.64907,0.0679165,-0.529704,0.809758,0.192293,-0.395745,0.925568,0.24693,-0.181892,0.060369,0.172605,-0.387908,0.467577,0.234735,-0.164604,0.988507,0.0514584,-0.29689,1.42471,0.183796,-0.344418,0.65318,0.237688,-0.292766,0.237736,0.249398,-0.422346,0.0655887,0.179485,-0.341789,1.26048,0.269891,-0.469125,0.888513,0.167355,-0.446838,0.852357,0.227004,-0.260813,0.0994818,-0.205261,-0.175082,1.30644,-0.116591,-0.288568,1.58015,-0.0557677,-0.343824,1.07858,-0.257556,-0.398845,1.63693,-0.0597121,-0.496165,0.774703,-0.188429,-0.368942,0.99207,-0.250803,-0.191101,0.059409,-0.13656,-0.378296,0.492394,-0.200286,-0.161624,0.981593,-0.0114897,-0.306928,1.41967,-0.171436,-0.325423,0.815011,-0.183314,-0.322593,0.374409,-0.229322,-0.424553,0.0625099,-0.179651,-0.341497,1.17795,-0.245091,-0.445645,0.870259,-0.154468,-0.424424,0.835707,-0.215797,-0.42234,1.20278,0.0173404,-0.171682,1.21315,0.0133858
10,0.0897837,-0.222406,1.43847,0.0039192,-0.38722,1.36224,0.00806881,-0.253455,0.0930145,0.228033,-0.300683,0.968162,0.177526,-0.303995,1.5805,0.0933527,-0.354973,1.07354,0.28214,-0.416289,1.64661,0.0683003,-0.535264,0.811278,0.188724,-0.3998,0.924363,0.245484,-0.181901,0.0603599,0.172607,-0.390636,0.466613,0.236337,-0.16322,0.986542,0.0519231,-0.297047,1.42239,0.183856,-0.345442,0.651968,0.239103,-0.293971,0.237186,0.249948,-0.422334,0.0656117,0.179542,-0.342536,1.25827,0.269653,-0.47302,0.889205,0.164878,-0.451904,0.852138,0.224517,-0.260854,0.0995049,-0.205315,-0.175367,1.30468,-0.11698,-0.289225,1.57802,-0.0555501,-0.346149,1.07653,-0.257324,-0.399625,1.63466,-0.0593613,-0.50285,0.775904,-0.184905,-0.372369,0.990301,-0.249682,-0.191102,0.0594336,-0.13655,-0.38046,0.491786,-0.201779,-0.160072,0.979733,-0.0110766,-0.30761,1.4175,-0.171468,-0.324396,0.813803,-0.183247,-0.324668,0.373679,-0.230497,-0.42455,0.0625023,-0.179706,-0.343038,1.17595,-0.245052,-0.450412,0.87071,-0.151968,-0.429974,0.835181,-0.213108,-0.421829,1.20032,0.0174023,-0.171088,1.21153,0.0131946
11,0.0997596,-0.222666,1.43641,0.00384438,-0.387395,1.35979,0.00812704,-0.253478,0.0929859,0.228114,-0.299346,0.966142,0.177962,-0.304583,1.57808,0.0936691,-0.357071,1.07149,0.282044,-0.416991,1.6441,0.0686389,-0.540643,0.812936,0.185083,-0.403878,0.923185,0.244113,-0.18189,0.0603563,0.172593,-0.39324,0.465552,0.237848,-0.161818,0.984591,0.052548,-0.297066,1.42006,0.183815,-0.346353,0.650681,0.240485,-0.295028,0.236624,0.250586,-0.422316,0.0656621,0.179607,-0.343292,1.25607,0.269524,-0.476778,0.889999,0.162457,-0.456932,0.851975,0.221888,-0.26091,0.0995212,-0.20538,-0.175676,1.3029,-0.11734,-0.289834,1.57584,-0.0553641,-0.348496,1.0745,-0.257076,-0.400402,1.63233,-0.0590769,-0.509513,0.777252,-0.18132,-0.375695,0.988659,-0.248681,-0.191107,0.0594537,-0.136536,-0.38276,0.491116,-0.203299,-0.158633,0.978023,-0.0106407,-0.308215,1.41528,-0.171435,-0.323397,0.812441,-0.183129,-0.326852,0.37294,-0.231708,-0.424552,0.0624929,-0.179763,-0.344627,1.17395,-0.244994,-0.455039,0.871195,-0.149372,-0.435474,0.834789,-0.210265,-0.421368,1.19782,0.0174651,-0.170534,1.2098,0.0128931
