Frame#,Time,C7_X,C7_Y,C7_Z,CLAV_X,CLAV_Y,CLAV_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LBHD_X,LBHD_Y,LBHD_Z,LELB_X,LELB_Y,LELB_Z,LFHD_X,LFHD_Y,LFHD_Z,LFIN_X,LFIN_Y,LFIN_Z,LFRM_X,LFRM_Y,LFRM_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTHI_X,LTHI_Y,LTHI_Z,LTIB_X,LTIB_Y,LTIB_Z,LTOE_X,LTOE_Y,LTOE_Z,LUPA_X,LUPA_Y,LUPA_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RBAK_X,RBAK_Y,RBAK_Z,RBHD_X,RBHD_Y,RBHD_Z,RELB_X,RELB_Y,RELB_Z,RFHD_X,RFHD_Y,RFHD_Z,RFIN_X,RFIN_Y,RFIN_Z,RFRM_X,RFRM_Y,RFRM_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTHI_X,RTHI_Y,RTHI_Z,RTIB_X,RTIB_Y,RTIB_Z,RTOE_X,RTOE_Y,RTOE_Z,RUPA_X,RUPA_Y,RUPA_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z,T10_X,T10_Y,T10_Z
1,0.0,-0.0418263,1.46364,0.00139102,-0.223442,1.42836,0.0037695,-0.0560734,0.0943816,0.18351,-0.157177,0.996965,0.163174,-0.11164,1.61935,0.0895746,-0.0467679,1.439,0.438345,-0.221879,1.68917,0.0671564,-0.0562182,1.44922,0.726768,-0.0472523,1.38793,0.584002,0.0209516,0.0617018,0.137273,-0.122821,0.480129,0.172895,-0.0220902,1.01787,0.0346369,-0.0786645,1.49339,0.119511,-0.139702,0.667855,0.19329,-0.0642252,0.246194,0.202987,-0.218373,0.0651351,0.116261,-0.0509153,1.47082,0.265039,-0.110491,1.39116,0.682718,-0.0375467,1.38625,0.676022,-0.038051,0.100433,-0.158358,-0.157085,0.990155,-0.151841,-0.0106527,1.33645,-0.104224,-0.0998312,1.6171,-0.0600288,-0.0777852,1.45979,-0.425145,-0.2095,1.67768,-0.0613741,-0.0970551,1.51544,-0.715627,-0.0768475,1.4526,-0.511904,0.0204455,0.0609429,-0.0777072,-0.108031,0.495827,-0.151786,-0.0211556,1.01462,-0.0262268,-0.0853252,1.49031,-0.121179,-0.16768,0.822455,-0.18048,-0.0456443,0.385027,-0.1759,-0.204965,0.0621185,-0.156067,-0.0771645,1.46612,-0.32869,-0.141202,1.43356,-0.679956,-0.0685057,1.44592,-0.678604,-0.276909,1.26776,0.0108973,-0.0224531,1.23436,0.00722319
2,0.00999069,-0.0417396,1.46358,0.00140309,-0.223361,1.42839,0.00375193,-0.0560607,0.094371,0.183525,-0.157261,0.996982,0.163205,-0.111502,1.61935,0.0895527,-0.0468586,1.43895,0.438381,-0.22172,1.6892,0.0671244,-0.0565023,1.44916,0.726807,-0.0474298,1.3879,0.584014,0.0209465,0.0617495,0.137271,-0.122597,0.480044,0.17262,-0.0221189,1.01787,0.0347081,-0.0785362,1.49335,0.119523,-0.139739,0.667863,0.193308,-0.0642395,0.246205,0.202996,-0.218372,0.0651448,0.116257,-0.0511759,1.47065,0.265046,-0.110729,1.39109,0.682695,-0.0378182,1.38616,0.676062,-0.0380637,0.100441,-0.158326,-0.157039,0.990126,-0.15181,-0.0106363,1.3364,-0.104241,-0.0996744,1.61708,-0.0600412,-0.0777901,1.45991,-0.42512,-0.209158,1.67767,-0.0612638,-0.0971493,1.51579,-0.7156,-0.0767355,1.45283,-0.51189,0.0204622,0.0609509,-0.0777039,-0.108017,0.495791,-0.151756,-0.0211575,1.01461,-0.0261307,-0.0852127,1.49031,-0.12113,-0.167593,0.822441,-0.180456,-0.0455743,0.385001,-0.175882,-0.204966,0.0620866,-0.156059,-0.0771059,1.4662,-0.328638,-0.14139,1.43399,-0.67989,-0.0687063,1.44614,-0.678549,-0.277564,1.2678,0.0109066,-0.0224125,1.23431,0.00721131
3,0.0199814,-0.0416532,1.46352,0.00142058,-0.223302,1.42842,0.00373212,-0.0560588,0.0943646,0.183527,-0.157331,0.996985,0.163231,-0.111357,1.61935,0.0895471,-0.0469542,1.43888,0.438414,-0.22156,1.68921,0.0670769,-0.0567661,1.44907,0.726865,-0.0476364,1.38783,0.584044,0.0209483,0.0618332,0.137234,-0.122569,0.480018,0.17258,-0.0221539,1.01786,0.0347922,-0.0784533,1.4933,0.119527,-0.139794,0.667863,0.193335,-0.0642565,0.246206,0.20301,-0.218372,0.0651354,0.11626,-0.0512233,1.47054,0.26508,-0.110986,1.39103,0.682679,-0.0380823,1.38608,0.676107,-0.0380587,0.100434,-0.158293,-0.156974,0.990099,-0.151784,-0.0106124,1.33634,-0.104261,-0.099521,1.61706,-0.0600313,-0.0777923,1.46003,-0.425105,-0.209097,1.67768,-0.0613868,-0.0972548,1.51608,-0.715583,-0.0768795,1.45297,-0.511867,0.0204633,0.0609483,-0.0776905,-0.107999,0.49577,-0.151737,-0.0211639,1.01461,-0.026039,-0.0850952,1.49032,-0.121083,-0.167506,0.82242,-0.180443,-0.0455184,0.384983,-0.175913,-0.204962,0.062091,-0.156049,-0.0770364,1.46626,-0.328623,-0.141577,1.43432,-0.679833,-0.0688166,1.44634,-0.67844,-0.27766,1.26785,0.0108845,-0.0223888,1.23424,0.00719534
4,0.0299721,-0.041564,1.46346,0.00144879,-0.223246,1.42845,0.00370925,-0.0560614,0.0943561,0.183527,-0.1574,0.996971,0.163253,-0.111211,1.61935,0.0895441,-0.0470525,1.43878,0.438451,-0.221393,1.68923,0.0670307,-0.0570358,1.44897,0.726935,-0.0478277,1.38773,0.584086,0.0209363,0.0617907,0.137185,-0.122619,0.480016,0.172624,-0.0221762,1.01784,0.034888,-0.0784818,1.4932,0.11951,-0.13985,0.667844,0.193364,-0.0642916,0.246191,0.203036,-0.218373,0.0651288,0.116257,-0.0512078,1.47044,0.265129,-0.111262,1.39096,0.682666,-0.0383442,1.38601,0.676153,-0.0380482,0.10042,-0.158278,-0.156909,0.990069,-0.151754,-0.0105784,1.3363,-0.104291,-0.0993555,1.61703,-0.0600282,-0.0777952,1.46013,-0.425086,-0.208993,1.67767,-0.0614805,-0.0973627,1.51631,-0.715568,-0.07699,1.45312,-0.511843,0.020459,0.0609408,-0.0776783,-0.107993,0.495754,-0.151719,-0.0211667,1.0146,-0.0259543,-0.0849629,1.49033,-0.121034,-0.167423,0.822404,-0.180438,-0.0455326,0.384996,-0.17591,-0.204956,0.0620899,-0.156041,-0.0769919,1.46631,-0.328614,-0.141733,1.43457,-0.679793,-0.0689769,1.44664,-0.678473,-0.277583,1.26789,0.0108438,-0.022359,1.23416,0.00717383
5,0.0399628,-0.0414594,1.4634,0.00147362,-0.223178,1.42847,0.00369391,-0.0560581,0.0943599,0.183533,-0.157463,0.996967,0.163282,-0.11107,1.61934,0.0895464,-0.0471554,1.43866,0.438496,-0.221217,1.68925,0.0669857,-0.0573158,1.44887,0.726994,-0.0480298,1.38762,0.58412,0.0209295,0.0617318,0.137215,-0.122666,0.480013,0.172661,-0.0221799,1.01784,0.0349753,-0.0786466,1.49303,0.119448,-0.139895,0.667825,0.193394,-0.0643331,0.246175,0.203063,-0.218377,0.0651334,0.116254,-0.0511773,1.47033,0.265168,-0.111553,1.39087,0.68265,-0.0385996,1.38591,0.676198,-0.0380526,0.10041,-0.158268,-0.15685,0.990044,-0.151731,-0.0105441,1.33626,-0.104311,-0.0991774,1.617,-0.0600276,-0.0777896,1.46024,-0.425054,-0.208802,1.67768,-0.061503,-0.0975044,1.51648,-0.715551,-0.0770287,1.45325,-0.511824,0.0204519,0.060941,-0.0776706,-0.10799,0.495734,-0.1517,-0.0211654,1.01458,-0.0258709,-0.0848218,1.49033,-0.120986,-0.167351,0.82239,-0.180431,-0.0455691,0.385037,-0.175899,-0.204941,0.0620588,-0.156045,-0.0769637,1.46635,-0.328591,-0.141857,1.43477,-0.679751,-0.0691105,1.44689,-0.678493,-0.277518,1.26792,0.0107887,-0.0223264,1.23409,0.00715515
6,0.0499534,-0.0413613,1.46335,0.00151384,-0.223105,1.42849,0.00368707,-0.0560592,0.0943582,0.183551,-0.157517,0.996965,0.163313,-0.110965,1.61933,0.0895227,-0.0472622,1.43854,0.43854,-0.221047,1.68927,0.0669457,-0.0575766,1.44878,0.726994,-0.04824,1.38752,0.584146,0.0209371,0.0617672,0.137222,-0.122704,0.479994,0.172682,-0.0221884,1.01782,0.0350597,-0.0786571,1.49294,0.119413,-0.139926,0.667811,0.193418,-0.0643623,0.246162,0.203078,-0.21838,0.0651363,0.116253,-0.0511195,1.47023,0.265206,-0.111858,1.39079,0.682637,-0.038896,1.38577,0.676227,-0.0380705,0.100424,-0.158263,-0.156792,0.990024,-0.151709,-0.0105092,1.33622,-0.104313,-0.0989987,1.61697,-0.0600056,-0.0777783,1.46033,-0.425004,-0.208587,1.67769,-0.0615022,-0.0976597,1.51661,-0.715523,-0.0770473,1.45335,-0.511798,0.0204453,0.0609339,-0.0776573,-0.107984,0.495709,-0.151678,-0.0211475,1.01455,-0.0257901,-0.0846761,1.49034,-0.120936,-0.167288,0.822379,-0.18042,-0.0454535,0.385036,-0.175928,-0.204935,0.062034,-0.156048,-0.076927,1.46638,-0.328557,-0.141978,1.43491,-0.6797,-0.0692002,1.44704,-0.678462,-0.277481,1.26794,0.0107283,-0.0222971,1.23402,0.00714665
7,0.0599441,-0.0412809,1.46329,0.00155015,-0.223045,1.42852,0.00367676,-0.0560644,0.0943509,0.183564,-0.157571,0.996945,0.163348,-0.110947,1.61932,0.0893862,-0.0473715,1.43842,0.438576,-0.22089,1.68929,0.0669197,-0.0578113,1.44867,0.726927,-0.048461,1.38739,0.584166,0.020969,0.061818,0.137302,-0.122735,0.47997,0.172692,-0.0221991,1.01781,0.0351364,-0.0785671,1.49291,0.119396,-0.139961,0.667808,0.193439,-0.0643748,0.246156,0.203093,-0.218378,0.0651376,0.116248,-0.0510439,1.47014,0.265243,-0.112155,1.39068,0.682623,-0.039218,1.3856,0.676249,-0.0380617,0.100424,-0.158249,-0.156724,0.990015,-0.151684,-0.010462,1.33618,-0.104282,-0.0988163,1.61694,-0.059973,-0.077752,1.4604,-0.424943,-0.20837,1.67771,-0.0615162,-0.0978056,1.5167,-0.715494,-0.0770649,1.45341,-0.511761,0.0204371,0.0609263,-0.0776456,-0.107962,0.495692,-0.151656,-0.0211244,1.01452,-0.0257138,-0.0845283,1.49035,-0.120879,-0.167233,0.822367,-0.180404,-0.0453821,0.385086,-0.17599,-0.204944,0.0620331,-0.156043,-0.0768882,1.4664,-0.328513,-0.1421,1.435,-0.679643,-0.0693305,1.44712,-0.678436,-0.277442,1.26798,0.0106724,-0.0222898,1.23399,0.00714089
8,0.0699348,-0.0412055,1.46325,0.001573,-0.222979,1.42855,0.00365919,-0.0560624,0.0943465,0.183573,-0.15762,0.996928,0.163379,-0.110968,1.61932,0.0891994,-0.0474824,1.4383,0.438605,-0.220733,1.68932,0.0669069,-0.0580948,1.44847,0.726949,-0.0486889,1.38724,0.584175,0.020962,0.061777,0.137288,-0.122751,0.47996,0.172705,-0.0222001,1.01779,0.0352136,-0.0784716,1.49289,0.119383,-0.140001,0.667804,0.193459,-0.0643858,0.246155,0.203119,-0.218373,0.0651334,0.116245,-0.051038,1.47002,0.265271,-0.112454,1.39055,0.682588,-0.0395193,1.38542,0.676277,-0.0380481,0.100416,-0.158241,-0.156658,0.990005,-0.151658,-0.010398,1.33614,-0.104214,-0.098631,1.61692,-0.0599414,-0.0777099,1.46042,-0.424907,-0.208171,1.67774,-0.0615368,-0.097934,1.51676,-0.715482,-0.0770678,1.45343,-0.511734,0.0204328,0.0609328,-0.0776423,-0.107927,0.495686,-0.151638,-0.0211081,1.01449,-0.0256384,-0.0843895,1.49036,-0.120828,-0.167196,0.822364,-0.180378,-0.045337,0.385181,-0.176123,-0.204948,0.0620372,-0.156028,-0.0768677,1.46637,-0.328458,-0.142216,1.43506,-0.679585,-0.069443,1.44717,-0.678435,-0.277402,1.26802,0.0106257,-0.0223179,1.23399,0.00711558
9,0.0799255,-0.0411199,1.46322,0.00157652,-0.222902,1.42857,0.00364264,-0.0560594,0.0943457,0.183573,-0.157669,0.996915,0.163402,-0.110756,1.6193,0.0893526,-0.0476024,1.43818,0.438643,-0.220571,1.68934,0.0669062,-0.058433,1.44823,0.727065,-0.0489269,1.38709,0.584183,0.0209725,0.0617744,0.13732,-0.122769,0.479957,0.172727,-0.0221961,1.01777,0.0352938,-0.078384,1.49286,0.119379,-0.140047,0.667795,0.193477,-0.0644068,0.246148,0.203135,-0.218369,0.0651324,0.116245,-0.0509905,1.46992,0.265294,-0.112757,1.39041,0.682559,-0.039829,1.38522,0.676317,-0.0380411,0.100431,-0.158249,-0.156602,0.989994,-0.151631,-0.0103141,1.3361,-0.104135,-0.0984487,1.61691,-0.0599272,-0.077643,1.4604,-0.424892,-0.207969,1.67777,-0.0615503,-0.0980414,1.5168,-0.715481,-0.0770508,1.45343,-0.511715,0.0204335,0.0609355,-0.0776434,-0.107894,0.495694,-0.151623,-0.0210933,1.01447,-0.0255772,-0.0842569,1.49037,-0.120788,-0.167165,0.822364,-0.180353,-0.0452181,0.38513,-0.176185,-0.204937,0.0620317,-0.15601,-0.0768425,1.46628,-0.328408,-0.142321,1.43511,-0.679537,-0.0695104,1.44721,-0.678424,-0.277368,1.26805,0.0105942,-0.022273,1.23397,0.00712201
10,0.0899162,-0.0410249,1.4632,0.00157882,-0.222827,1.42859,0.00362776,-0.0560555,0.0943422,0.183574,-0.157723,0.996905,0.163425,-0.110597,1.61928,0.0894187,-0.0477338,1.43807,0.438694,-0.220413,1.68936,0.066904,-0.0587454,1.44801,0.727159,-0.0491818,1.38694,0.5842,0.0210109,0.0618436,0.137381,-0.122795,0.479954,0.172748,-0.0221967,1.01776,0.035363,-0.0782991,1.49282,0.119392,-0.140078,0.667789,0.193486,-0.0644233,0.246145,0.20314,-0.218376,0.0651395,0.116241,-0.0510177,1.46982,0.265315,-0.113081,1.39028,0.682526,-0.0401274,1.38502,0.676354,-0.0380364,0.100428,-0.158247,-0.156552,0.989992,-0.151609,-0.0102277,1.33607,-0.10406,-0.0982623,1.6169,-0.059911,-0.0775735,1.46037,-0.42489,-0.207764,1.6778,-0.061535,-0.0981331,1.51682,-0.715474,-0.0770325,1.45342,-0.511698,0.0204378,0.0609358,-0.0776365,-0.107873,0.495697,-0.151604,-0.0210732,1.01445,-0.0255228,-0.0841277,1.49037,-0.120752,-0.167127,0.822358,-0.180335,-0.0451974,0.385115,-0.176152,-0.204933,0.0620293,-0.156009,-0.0767303,1.46624,-0.328381,-0.142406,1.43515,-0.679492,-0.0695784,1.44724,-0.678396,-0.277305,1.26808,0.0105747,-0.0221742,1.23392,0.00717099
