Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0247318,0.026668,0.0227538,0.0388266,0.0223284,0.0187157,0.025123,0.0620953,0.0440397,0.0213135,0.0132118,0.0403711,0.0303716,0.0198092,0.0184607,0.027636,0.0376379,0.0337175,0.0347462,0.015076,0.0375902,0.030265,0.0225334,0.0211849,0.0218319,0.044754,0.0311594,0.0188011,0.014295,0.0416945,0.0257818,0.0213091,0.0244113,0.0219964,0.0212121,0.0254649,0.0283072,0.0293823,0.0285064
0,0.0190102,0.0246532,0.0259517,0.0466041,0.033752,0.0119969,0.0359689,0.0744832,0.039573,0.0225508,0.0159458,0.0414908,0.0325257,0.0145707,0.0177417,0.0250184,0.0338676,0.0214486,0.0344847,0.0132211,0.0362372,0.0242588,0.0267535,0.0321959,0.00592027,0.0289216,0.0382035,0.0242956,0.0146961,0.0482792,0.0178176,0.0293954,0.0129175,0.0185869,0.0274829,0.0311577,0.0302641,0.0296211,0.0232644
1,0.018297,0.0248901,0.0250362,0.0446913,0.0336594,0.00966004,0.0357556,0.0768859,0.0422069,0.0220816,0.0111007,0.0404084,0.0329606,0.0101374,0.0142522,0.0242445,0.0358726,0.0237954,0.037254,0.0102154,0.0355696,0.0226163,0.0266503,0.0310047,0.00650228,0.0262049,0.0365963,0.0234215,0.012891,0.0476375,0.0170944,0.0279114,0.0156205,0.0227033,0.0261042,0.0286021,0.0273977,0.0288366,0.0230367
2,0.0178436,0.0251314,0.0246414,0.0432997,0.0335076,0.00780175,0.0354298,0.0787344,0.0443463,0.021818,0.00835734,0.0395213,0.0332986,0.00899229,0.0116734,0.0236859,0.036968,0.0251256,0.039233,0.00784746,0.035009,0.0213104,0.0265513,0.0295924,0.00753166,0.0245466,0.0354613,0.0233245,0.0112487,0.0469909,0.0166622,0.0260157,0.0179862,0.0259972,0.0249774,0.0268471,0.0253784,0.0281063,0.0228967
3,0.017633,0.0253147,0.0246753,0.0423853,0.0331416,0.00636768,0.0350242,0.0799335,0.0459067,0.0219774,0.00736313,0.0386711,0.033578,0.00926917,0.0101913,0.0231051,0.0377227,0.025942,0.0405408,0.00669272,0.0345418,0.0202688,0.0264543,0.0283409,0.00858072,0.0239081,0.0347208,0.02366,0.00945375,0.0462932,0.0163862,0.0240567,0.0198516,0.0282022,0.0240102,0.0256983,0.0240581,0.0274266,0.0228799
4,0.0176601,0.0254573,0.0248723,0.0418872,0.0326024,0.00537404,0.0345279,0.0798194,0.0469952,0.0220588,0.0073341,0.0377888,0.0338637,0.00880161,0.00983005,0.022621,0.0386912,0.0260911,0.0412934,0.00686528,0.0342286,0.0194898,0.0263627,0.0273934,0.00966452,0.0242225,0.0342698,0.0242553,0.0077044,0.045522,0.0161875,0.0222003,0.0212486,0.0290226,0.0231306,0.0249322,0.0232054,0.0267813,0.0229079
5,0.0178298,0.0255659,0.0251312,0.0416775,0.0319957,0.00485078,0.0339598,0.0793369,0.0477836,0.0219206,0.00775342,0.03691,0.0341715,0.00759654,0.0101492,0.0222302,0.0397559,0.0261068,0.0416013,0.0077952,0.0340503,0.0189924,0.0261394,0.026633,0.01066,0.0253775,0.0340182,0.0250373,0.00635911,0.0446904,0.0160166,0.0205321,0.0222707,0.0282254,0.0222801,0.0244291,0.0227171,0.0261954,0.0229037
6,0.018017,0.0256889,0.0254104,0.0415835,0.0313763,0.00473765,0.0333366,0.0786703,0.0482777,0.0216835,0.00850471,0.0361269,0.0344972,0.00676756,0.0107923,0.0218625,0.0406722,0.02563,0.0415984,0.00902078,0.0340187,0.0187267,0.0259853,0.0259604,0.0115685,0.0273329,0.0338921,0.0258622,0.00573338,0.0438245,0.0158019,0.0191503,0.0226754,0.0249929,0.0214354,0.0241499,0.0225325,0.0256857,0.0228536
7,0.0181267,0.0258627,0.0255546,0.0414795,0.0307532,0.00487818,0.0326591,0.0777116,0.0485771,0.0217305,0.00922424,0.0355405,0.0347822,0.00680559,0.0116421,0.0215533,0.0411481,0.0254165,0.0413349,0.0101674,0.0342541,0.0186512,0.0259011,0.0254204,0.0123505,0.0298224,0.0338785,0.0257456,0.00594279,0.0430212,0.015497,0.0180046,0.0222086,0.0219888,0.0206143,0.0241063,0.0225329,0.025309,0.0227696
8,0.0181344,0.0260465,0.0256478,0.0412804,0.0301326,0.00512041,0.0319371,0.0764274,0.0486702,0.0216976,0.00962104,0.0352983,0.0348729,0.0074655,0.0124866,0.0213599,0.0414598,0.0249585,0.0408429,0.0107608,0.0348452,0.018797,0.02572,0.0247352,0.0129164,0.0327631,0.0339582,0.0247028,0.00676945,0.0421598,0.015112,0.0171069,0.020981,0.0245483,0.0198497,0.0243309,0.0227558,0.0251098,0.0226716
