Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
All Timesteps RMSE,0.0291048,0.0289393,0.0228148,0.0317945,0.0357597,0.0343135,0.0544014,0.057182,0.0473481,0.021212,0.0122958,0.0402921,0.0383358,0.0193581,0.0184095,0.0265525,0.0460758,0.0416017,0.0364661,0.0147793,0.0360288,0.0433334,0.0224042,0.060891,0.0416388,0.0328328,0.0186431,0.0133627,0.0334782,0.0359937,0.0154553,0.02284,0.0216235,0.0259515,0.0226692,0.0278007,0.0297267,0.0300058,0.0258632
0,0.0160554,0.0340852,0.0195102,0.0323688,0.0197472,0.0359122,0.0383599,0.0772592,0.0648687,0.0159525,0.0118318,0.0399338,0.023796,0.0190406,0.025615,0.0232549,0.0684805,0.0780112,0.0652559,0.00205199,0.0535349,0.0396757,0.0295692,0.0499111,0.0265978,0.0315879,0.00136103,0.0189682,0.0378875,0.0571224,0.0350317,0.0133572,0.0192895,0.0341972,0.0271062,0.0277695,0.0557469,0.0287712,0
1,0.0158459,0.0339616,0.0205968,0.0343037,0.0199497,0.0376534,0.0392874,0.0774694,0.0676662,0.0169535,0.0108276,0.0404548,0.024356,0.016275,0.0245512,0.0235365,0.0688135,0.0745095,0.0687212,0.000861622,0.0529885,0.0395463,0.0285637,0.0503334,0.0242071,0.0304413,0.00293117,0.0177115,0.0363486,0.0564507,0.0335305,0.0153874,0.0202221,0.0334439,0.0257561,0.0258109,0.0554522,0.0287336,0
2,0.0158298,0.0337412,0.0213133,0.0360322,0.0199857,0.0390763,0.0399022,0.0783226,0.0697626,0.0173129,0.0107557,0.0408317,0.0247347,0.0138059,0.0242016,0.0236384,0.0686318,0.0719499,0.0711907,0.00243684,0.0524525,0.0392428,0.0278839,0.0504851,0.0226192,0.0297105,0.0059206,0.0168558,0.0349436,0.0558673,0.032018,0.0172698,0.021994,0.032962,0.0248773,0.0245389,0.0550844,0.0286876,0
3,0.0160176,0.0334539,0.0212181,0.0374407,0.0199163,0.0402416,0.0402293,0.0801612,0.0712857,0.0170729,0.0114747,0.0409653,0.0249455,0.011775,0.0239046,0.0235882,0.0685551,0.0702502,0.0727145,0.0033311,0.052292,0.038811,0.0274609,0.0503837,0.0216776,0.0293228,0.0086243,0.0162571,0.0338105,0.0554704,0.0305569,0.0188328,0.023932,0.0326663,0.0243823,0.0238026,0.0546761,0.0286979,0.0355565
4,0.0163926,0.0331099,0.0208251,0.0384029,0.0198951,0.0412006,0.0403696,0.0817776,0.0723159,0.0167055,0.0125089,0.0407764,0.0250388,0.0103979,0.0228281,0.0233732,0.0688935,0.0692069,0.0736698,0.00372163,0.0522023,0.0383208,0.0272168,0.0500872,0.0212488,0.0291975,0.0111854,0.0158811,0.0330804,0.0553036,0.0291772,0.0200032,0.0258651,0.032514,0.024187,0.0234754,0.0542254,0.0287974,0.0319988
5,0.0168377,0.0327439,0.020394,0.0388703,0.0199651,0.0420285,0.040329,0.0830842,0.0729382,0.0166694,0.0134133,0.0400328,0.0250442,0.00999111,0.0209994,0.0229455,0.0690802,0.0684993,0.0741724,0.00398287,0.0521626,0.0378311,0.0271254,0.0496363,0.0211826,0.0292832,0.0137194,0.0155273,0.0327802,0.0554635,0.02789,0.0207751,0.0278492,0.0325067,0.0241864,0.0234478,0.0537145,0.0289376,0.0287171
6,0.0171858,0.0324259,0.0202713,0.0388719,0.0196902,0.0427724,0.0400213,0.0843273,0.0732879,0.0170594,0.0136193,0.0387953,0.0249956,0.0106347,0.0190014,0.0222258,0.0690331,0.0682262,0.0743143,0.00432054,0.052313,0.0373694,0.0271929,0.0490501,0.0213743,0.0295055,0.0162425,0.0150372,0.0328808,0.055924,0.0266365,0.0212062,0.0296891,0.0325995,0.0243408,0.0235885,0.0531416,0.0291266,0.0256241
7,0.0173929,0.0322119,0.0205183,0.0384743,0.019511,0.0434714,0.0394843,0.085549,0.0734776,0.0172239,0.0127912,0.0381606,0.0248978,0.0119339,0.0170039,0.021185,0.0690128,0.0683341,0.0742124,0.00481674,0.0526755,0.0369857,0.0273925,0.0483979,0.0217385,0.0297586,0.0186681,0.0144618,0.0332035,0.0566143,0.025356,0.0213387,0.0312674,0.0327058,0.0246252,0.0237677,0.0525263,0.0293593,0.0233433
8,0.0174679,0.0321277,0.0210819,0.0377897,0.0194948,0.0441772,0.038939,0.0865556,0.073583,0.0180012,0.0113071,0.0375312,0.0247528,0.0129302,0.0150914,0.0201807,0.068969,0.0686648,0.0739416,0.00568224,0.0531567,0.0366823,0.0274099,0.0477079,0.0222232,0.0300231,0.0207115,0.0140036,0.033279,0.0573866,0.0239811,0.0212062,0.0324449,0.0328411,0.0247708,0.0239624,0.0518741,0.0295435,0.0220318
