Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0226576,0.0272282,0.028475,0.043664,0.0367887,0.0289349,0.0549818,0.0305694,0.0261665,0.0274811,0.0151868,0.0372821,0.0294061,0.0161777,0.0194267,0.0371993,0.0154525,0.0299107,0.0271974,0.0179393,0.041279,0.0343775,0.0388836,0.0398455,0.0587172,0.0222145,0.0288218,0.0250459,0.0116036,0.0362089,0.0279958,0.0174707,0.0196587,0.0293992,0.0333525,0.0224981,0.0212704,0.0277928,0.0307659
0,0.018344,0.0279672,0.0249565,0.0395697,0.0341687,0.0281246,0.0339996,0.0336569,0.0289404,0.0209133,0.0150669,0.0382131,0.0419009,0.0187795,0.0132066,0.0393252,0.0117582,0.0372255,0.0347074,0.0194986,0.0395856,0.0225032,0.0366957,0.033425,0.041184,0.0245191,0.0282926,0.0487229,0.0196625,0.0375946,0.0108185,0.0156834,0.0336511,0.0472064,0.0286181,0.0251362,0.0214114,0.0325607,0.0257723
1,0.0199128,0.0277031,0.0255972,0.0388845,0.0305183,0.0278681,0.0351298,0.0301476,0.026877,0.0212817,0.0144692,0.0366106,0.0430839,0.016199,0.0122212,0.0398659,0.012349,0.0332915,0.0318962,0.0201688,0.0396283,0.0224479,0.0332234,0.0317658,0.0423772,0.0221255,0.0272236,0.0428328,0.0175287,0.0353715,0.0112473,0.0165191,0.0317336,0.0468032,0.0280816,0.0232127,0.0206817,0.0335813,0.0319188
2,0.0210462,0.0275101,0.0261774,0.0387321,0.0282423,0.0281107,0.036604,0.0281275,0.0264506,0.0215628,0.015675,0.0358085,0.0436991,0.0139525,0.011804,0.0403665,0.0131201,0.0310749,0.0304369,0.0219646,0.0401353,0.0240552,0.0308741,0.0311981,0.0436851,0.0213709,0.0266598,0.0387422,0.0168636,0.0350564,0.0128643,0.0179829,0.0302797,0.0469112,0.0286314,0.0221796,0.0215937,0.0346195,0.0367769
3,0.0216635,0.0272218,0.0266168,0.0389758,0.0269086,0.0283934,0.0380082,0.0273125,0.0266406,0.0219324,0.017057,0.0355942,0.0439877,0.0124933,0.0117748,0.0407545,0.0132849,0.0300038,0.0297338,0.0237977,0.0408887,0.026038,0.0293466,0.0311296,0.0449528,0.0212218,0.026486,0.0360798,0.0168575,0.035467,0.0145648,0.0191986,0.0291882,0.0467429,0.0294325,0.0219881,0.0225398,0.0353506,0.0400662
4,0.0223659,0.0268765,0.0268739,0.039283,0.026157,0.0287284,0.039123,0.0273626,0.0260825,0.0219744,0.0178563,0.0360456,0.0437612,0.0120948,0.0118858,0.0409207,0.0127591,0.0296427,0.0293531,0.0252945,0.0417468,0.027696,0.0283385,0.0314862,0.0460145,0.021149,0.0265323,0.0342632,0.0170504,0.0350896,0.0161317,0.0199109,0.0282481,0.0460726,0.0302865,0.0223961,0.0230405,0.0355726,0.0418405
5,0.0234201,0.026529,0.0268638,0.0395414,0.0257879,0.0289037,0.039885,0.0279279,0.0258454,0.0216861,0.0182671,0.0365841,0.0429357,0.0125075,0.0120294,0.0407207,0.0115801,0.0298238,0.0290314,0.0263646,0.0421054,0.0288879,0.0276962,0.0321898,0.0467366,0.0210056,0.0266295,0.0329242,0.0172287,0.0342136,0.0175124,0.020091,0.0274204,0.0454425,0.031172,0.0228557,0.0231105,0.0351984,0.0426728
6,0.0246749,0.0261094,0.0265379,0.0397123,0.0256615,0.0290614,0.040303,0.0287427,0.0255054,0.0210142,0.0182726,0.037316,0.0415668,0.0133127,0.0118737,0.040311,0.00982477,0.0300708,0.0287426,0.0271422,0.0422309,0.0296976,0.0274158,0.0327992,0.0471529,0.0208594,0.0266807,0.0319131,0.0172794,0.0340282,0.0188641,0.019815,0.0270545,0.0448703,0.0320663,0.0228452,0.0228583,0.0342985,0.0429218
7,0.0258012,0.0254527,0.0259676,0.0395984,0.0256674,0.02945,0.0404542,0.0296127,0.0254886,0.0200579,0.0178112,0.0380112,0.0397456,0.0141371,0.0114066,0.0399547,0.00781929,0.0303389,0.0288496,0.02785,0.042478,0.0302632,0.0272813,0.0332554,0.0473343,0.0208677,0.0266823,0.0311223,0.0171835,0.0343198,0.0201874,0.0191545,0.0267842,0.0441797,0.0328583,0.0221327,0.0224207,0.0329264,0.0427907
8,0.026377,0.0245301,0.0252256,0.0391241,0.0257187,0.0301463,0.0404308,0.0304795,0.0259676,0.0196456,0.017121,0.0384342,0.0375923,0.0147301,0.0107389,0.0396747,0.00601927,0.0306468,0.0290949,0.0283162,0.0429626,0.0307591,0.0270922,0.0336142,0.0473463,0.0209339,0.0267527,0.0304911,0.0169598,0.0346391,0.0213855,0.0181703,0.0267908,0.0431603,0.0334285,0.0219955,0.021865,0.0312781,0.0423259
9,0.0262594,0.0234631,0.0242729,0.0385571,0.0257679,0.0311322,0.0402911,0.0312257,0.026768,0.019452,0.0163853,0.0384981,0.0353207,0.0150758,0.0102765,0.0389634,0.00528073,0.0309443,0.0291713,0.0284283,0.0433862,0.0313924,0.0271438,0.0338927,0.0472281,0.0210052,0.0269239,0.0299573,0.0166486,0.0348493,0.022387,0.0168816,0.0266125,0.0416605,0.0337217,0.0222592,0.0213305,0.0295462,0.0415883
