Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
All Timesteps RMSE,0.0296198,0.0310329,0.0210655,0.0304762,0.0223478,0.0238605,0.0326242,0.0445409,0.049159,0.0203067,0.0101386,0.0386426,0.0383966,0.0163829,0.0170615,0.0240133,0.0482078,0.0300355,0.0311839,0.0137139,0.0318391,0.0218791,0.0200397,0.0281049,0.0439012,0.0329163,0.0181779,0.0131913,0.0316428,0.0204567,0.0129103,0.0240847,0.0206535,0.0227473,0.0266031,0.0272109,0.03583,0.0264982,0.0249604
0,0.030931,0.0341229,0.0220333,0.0235717,0.022101,0.0167931,0.0471317,0.0485837,0.0488975,0.0205488,0.0112921,0.0368555,0.0398537,0.0123748,0.0120503,0.0190495,0.0473473,0.0145837,0.0306467,0.0106564,0.0387278,0.0249775,0.0237229,0.0384139,0.0412218,0.0360306,0.0188671,0.0162075,0.0446949,0.0201973,0.0235981,0.0206666,0.0378404,0.0270384,0.0259359,0.0258575,0.0412132,0.0267356,0
1,0.0313075,0.0341641,0.0214359,0.0239817,0.0214788,0.016475,0.0458494,0.0499016,0.0494502,0.0195918,0.0091071,0.0363755,0.0393914,0.0112085,0.0104626,0.0181846,0.0466076,0.0161319,0.0315771,0.0082964,0.0390554,0.0247163,0.0233065,0.0373143,0.0411273,0.0357129,0.0178682,0.0160721,0.0429397,0.0207062,0.0216425,0.0215671,0.0361518,0.0267693,0.0255856,0.0256464,0.0400108,0.0262704,0
2,0.0317552,0.0342865,0.0211699,0.0245439,0.0208984,0.0159772,0.0445227,0.0508671,0.0494381,0.0189213,0.00774674,0.0355026,0.0389527,0.0100916,0.00962788,0.0176043,0.0459792,0.0175939,0.0323257,0.00735388,0.0390488,0.0244849,0.022996,0.0361049,0.0410616,0.0354347,0.0176636,0.0153871,0.0412875,0.021428,0.0195885,0.0218293,0.0349209,0.0266032,0.0252735,0.025729,0.0389852,0.0260307,0
3,0.032194,0.0345388,0.0211297,0.025211,0.0203654,0.0154392,0.0431218,0.0515963,0.0493501,0.0184564,0.00703895,0.034807,0.0385862,0.00933334,0.00952162,0.0172192,0.0453029,0.0190211,0.0329256,0.00741198,0.0389105,0.0243112,0.0227455,0.0347412,0.0409581,0.0351644,0.0177704,0.0141193,0.0397017,0.0224517,0.0175041,0.0214821,0.0338938,0.0265628,0.0250379,0.0259961,0.0381253,0.025969,0
4,0.0326325,0.0349612,0.0209116,0.0259388,0.0199058,0.0148159,0.0416223,0.0520563,0.0492067,0.0181362,0.00678644,0.0343609,0.0381588,0.00906342,0.00974112,0.0169241,0.0444703,0.02047,0.0333434,0.00779045,0.0393205,0.0241093,0.0225404,0.0331422,0.0406981,0.0348781,0.0180319,0.0124519,0.0381787,0.0239192,0.0154852,0.0206678,0.0328641,0.0266895,0.0247198,0.0257879,0.0374279,0.0260693,0
5,0.0334181,0.0355479,0.0208022,0.0267199,0.0195569,0.0141862,0.0400672,0.0522143,0.0489606,0.0178984,0.0068529,0.034163,0.0374151,0.0092091,0.0100751,0.0167275,0.0434116,0.0219439,0.0337072,0.00808875,0.0403279,0.023915,0.0223951,0.03127,0.0401151,0.034538,0.0182544,0.0104687,0.0368364,0.0259581,0.0135968,0.0195583,0.0315817,0.0270036,0.0242541,0.0251394,0.0369584,0.0263033,0
6,0.0342747,0.0363084,0.0207973,0.0274778,0.0193799,0.0135855,0.0384825,0.0521222,0.0486102,0.0177487,0.00712627,0.0341735,0.0364172,0.0096046,0.0103963,0.0166674,0.0420631,0.0233685,0.0340087,0.00851046,0.0418678,0.0238183,0.0222774,0.0291259,0.0391272,0.0340796,0.017958,0.00815631,0.035769,0.0286985,0.0117311,0.0183096,0.0295742,0.0275172,0.0236729,0.0242258,0.0368661,0.0266494,0.0252755
7,0.0352136,0.0373142,0.0207916,0.0280513,0.0194257,0.0131211,0.0369932,0.0522113,0.0481993,0.017602,0.00745784,0.0344083,0.0351096,0.0101336,0.0104955,0.0166872,0.0403384,0.0246969,0.0344236,0.0091976,0.044013,0.0239721,0.0221824,0.026778,0.0377207,0.0335411,0.0164159,0.00597311,0.035003,0.0322517,0.00995267,0.0171631,0.0260683,0.0282909,0.0229485,0.0230992,0.0372169,0.0270774,0.0248104
8,0.0364905,0.0386954,0.0207669,0.0283475,0.0197507,0.0128928,0.0357627,0.0525516,0.0478057,0.0174055,0.00772993,0.0348773,0.0334157,0.0107524,0.0104772,0.0167241,0.0382351,0.0263095,0.0350268,0.00998797,0.0468383,0.0244946,0.0221484,0.0244404,0.0359293,0.0329356,0.0145904,0.00430409,0.0344739,0.0366795,0.0083753,0.0162065,0.0215987,0.029359,0.0221394,0.0217747,0.0377577,0.0274515,0.0244694
