Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
All Timesteps RMSE,0.0383066,0.00846189,0.0190238,0.035596,0.0398994,0.0172394,0.0526938,0.0312524,0.00622551,0.0187801,0.0119871,0.0347947,0.0133246,0.0154433,0.0178958,0.0217,0.0133281,0.0109356,0.00541597,0.0277693,0.0267188,0.0389279,0.0111745,0.0485932,0.0368896,0.00608582,0.0280326,0.0249709,0.046442,0.00946004,0.0213627,0.0140607,0.0300669,0.00694482,0.00536157,0.00624283,0.0152801,0.0475624,0.0408519
0,0.0230528,0.0213708,0.0126485,0.0321356,0.00938868,0.0133555,0.0194354,0.0114288,0.0114964,0.00996702,0.0249926,0.0338892,0.0108139,0.0117546,0.00930696,0.0086476,0.0110674,0.0118296,0.0109192,0.0145012,0.0240781,0.0103602,0.00802401,0.0156833,0.0115508,0.000745068,0.0116135,0.0102398,0.0519455,0.0174681,0.00836705,0.00816225,0.00754497,0.00851415,0.0049509,0.00255311,0.0261994,0.0267002,0
1,0.022797,0.0208955,0.0120368,0.0318807,0.00911175,0.0130475,0.0189433,0.0116924,0.0106987,0.00949655,0.0253019,0.0335679,0.0102256,0.0121404,0.00876256,0.00843175,0.0102676,0.0115442,0.010722,0.0138664,0.0232492,0.0100188,0.00862418,0.0153256,0.0119478,0.00107803,0.0108243,0.00960057,0.0520414,0.0167494,0.00814679,0.00731231,0.00712503,0.00832154,0.00500676,0.00246052,0.0256629,0.0267137,0
2,0.0225403,0.020395,0.0114343,0.031624,0.00883097,0.0127174,0.0184628,0.0118472,0.00994632,0.00909885,0.0256332,0.0332337,0.00960335,0.0124547,0.00846029,0.00824898,0.00937774,0.0112852,0.0105762,0.0132441,0.0223745,0.0096761,0.00915482,0.0150554,0.0121908,0.00141003,0.0100438,0.0089916,0.0521079,0.016005,0.00799325,0.00669494,0.00675372,0.00804385,0.00512303,0.00247865,0.0251283,0.0267548,0
3,0.0222915,0.0198768,0.0108308,0.0313306,0.00855388,0.0123329,0.0180199,0.0119391,0.00926443,0.00876668,0.0259698,0.0329,0.0090098,0.012739,0.00832738,0.00809654,0.00842772,0.011034,0.010453,0.0126312,0.0214487,0.00930531,0.00971304,0.0146764,0.0122596,0.00173059,0.009346,0.00845437,0.0521243,0.0152712,0.00800433,0.00621562,0.00643127,0.00768226,0.00513813,0.00259733,0.0246027,0.0268366,0
4,0.0220352,0.0193343,0.0102367,0.0310398,0.00826991,0.0118946,0.0176073,0.0120421,0.00863429,0.00841053,0.0263154,0.0325372,0.00863112,0.0131024,0.00836895,0.00796937,0.0074624,0.010768,0.0103022,0.0120023,0.020486,0.00893085,0.0102911,0.0142421,0.0121315,0.00204065,0.0087503,0.00796011,0.0521403,0.0145553,0.00824481,0.00581545,0.00618443,0.00727428,0.0050727,0.0028235,0.0241022,0.0269359,0
5,0.0217538,0.018767,0.00965851,0.0307636,0.00798845,0.0113761,0.0171992,0.0121751,0.00799979,0.00805647,0.0266312,0.0321609,0.00825862,0.0134121,0.0083246,0.00785752,0.00661632,0.010459,0.0101217,0.0113523,0.0194962,0.00858158,0.0109012,0.0139902,0.0117984,0.00233688,0.00808048,0.0074629,0.0521457,0.0138401,0.00834979,0.00547862,0.00602289,0.00685216,0.0050222,0.00312128,0.0235476,0.0270217,0
6,0.0214095,0.0181791,0.0090974,0.0304702,0.00778813,0.0107677,0.0168225,0.0122819,0.00736905,0.00781579,0.0269283,0.0317847,0.00788955,0.0136862,0.008471,0.00774768,0.0057515,0.0101107,0.00994591,0.0106773,0.0185104,0.00831295,0.0115178,0.0137604,0.0113242,0.00263874,0.00735429,0.00698293,0.0521464,0.0131007,0.00830422,0.00518778,0.00595074,0.00647656,0.00499214,0.00340324,0.0227059,0.0270627,0
7,0.0210308,0.017575,0.00855219,0.0302311,0.00764918,0.0101238,0.0164987,0.0123509,0.00677638,0.00766287,0.0271774,0.0314497,0.00767279,0.0140716,0.00864931,0.00763932,0.00484793,0.00975642,0.00978937,0.0100183,0.0175267,0.00808749,0.0121689,0.013539,0.0108862,0.00297292,0.00663389,0.00656248,0.0521464,0.0123857,0.00824162,0.00510755,0.00600407,0.00617565,0.00492082,0.00369656,0.0215652,0.0270514,0
8,0.0206476,0.0169671,0.00800351,0.0300066,0.00754405,0.00950328,0.0161996,0.0124012,0.00628823,0.00759926,0.0273451,0.0311245,0.00745825,0.0143488,0.00856202,0.00755962,0.00397127,0.00950163,0.00966143,0.00938427,0.0165618,0.00792814,0.0127889,0.0134877,0.0103914,0.00335508,0.0059139,0.0061736,0.0521553,0.0116991,0.00818334,0.00511713,0.00618734,0.00599483,0.00483464,0.00420288,0.0206064,0.0270338,0
