Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
All Timesteps RMSE,0.0279715,0.0303979,0.0220932,0.0318197,0.0339419,0.0241053,0.0549484,0.0511219,0.0451313,0.0210404,0.0124403,0.0395066,0.044758,0.0188995,0.0174401,0.0271954,0.0473733,0.0301841,0.0330249,0.0147533,0.0279407,0.0444831,0.0191758,0.0678197,0.0490864,0.030429,0.0178478,0.0134814,0.0397418,0.0214685,0.0197502,0.0231427,0.0208541,0.0176867,0.0261067,0.0298455,0.0356571,0.0282855,0.0319166
0,0.0311249,0.0257545,0.0206685,0.0217657,0.0288827,0.0315986,0.0277509,0.0329513,0.0466952,0.0170436,0.00408853,0.040422,0.0312461,0.0217618,0.0144866,0.012594,0.0424409,0.0329412,0.0316034,0.0367885,0.0313027,0.0246514,0.0118317,0.0250174,0.0452843,0.0283962,0.0349216,0.00942362,0.0477238,0.0264307,0.0145125,0.0233784,0.0369188,0.0183895,0.0174867,0.0244628,0.0297861,0.0335008,0
1,0.0309415,0.0256664,0.0202839,0.0224653,0.029059,0.0306165,0.0282335,0.0297968,0.0443157,0.0168345,0.00489356,0.0408968,0.0311579,0.0223498,0.0147683,0.0129793,0.0418061,0.0322417,0.0295333,0.0304408,0.031355,0.023991,0.0115794,0.0246316,0.047059,0.0289546,0.0296306,0.0096193,0.0482168,0.0262111,0.0170391,0.02408,0.0300184,0.0178805,0.0187906,0.0268172,0.0309101,0.0342216,0
2,0.0307543,0.0255696,0.0198125,0.0229253,0.0291611,0.0299293,0.0285859,0.027584,0.0425291,0.0161686,0.00586871,0.0413337,0.0310687,0.0227466,0.0150185,0.013314,0.0411724,0.0319339,0.0282146,0.0246846,0.0311481,0.0231736,0.010938,0.0240693,0.048725,0.0291356,0.024561,0.00983595,0.0484229,0.0261531,0.0197567,0.0245208,0.0238792,0.0171647,0.0198881,0.0289541,0.0317098,0.0345431,0
3,0.0305773,0.0254466,0.0192777,0.0229791,0.0295006,0.029508,0.0288054,0.0261475,0.0413043,0.015182,0.00685232,0.0417447,0.0310668,0.0230052,0.0149737,0.013656,0.0405541,0.0319639,0.0275015,0.0194545,0.0308845,0.0222505,0.00998295,0.0233334,0.050535,0.0289206,0.0195824,0.0104842,0.0483267,0.0258272,0.0227026,0.0246803,0.0185724,0.0162201,0.0207724,0.0309016,0.0321834,0.0345202,0
4,0.0304607,0.0252786,0.0187337,0.0227621,0.0297524,0.0293135,0.0288946,0.0252965,0.0405523,0.0143856,0.00772741,0.0420305,0.0311501,0.0232305,0.0147093,0.0140108,0.0399483,0.0322229,0.0272469,0.014875,0.0303412,0.0212268,0.00887069,0.022487,0.0525125,0.0285069,0.0150677,0.0119101,0.047614,0.0251235,0.0258566,0.0246978,0.0147483,0.0151278,0.0214531,0.0325881,0.0323372,0.0342966,0
5,0.0304148,0.0250242,0.0182587,0.0224365,0.0298236,0.0293275,0.0288688,0.0248524,0.040179,0.0136634,0.00847478,0.042039,0.0313164,0.0234745,0.014481,0.0143083,0.0392809,0.032474,0.027343,0.010941,0.0296137,0.0201917,0.00779498,0.0216512,0.0542775,0.027949,0.0109943,0.0141661,0.0462028,0.0243732,0.0291089,0.0245274,0.0131026,0.0140641,0.0218368,0.0337241,0.0320993,0.0340462,0
6,0.0304268,0.0246574,0.0177971,0.0220897,0.0297514,0.0294876,0.028734,0.0246513,0.0400931,0.0130049,0.00913753,0.0417729,0.0315414,0.0237075,0.0140873,0.0145757,0.0385591,0.0328151,0.0276599,0.00751974,0.0288337,0.0192066,0.00687914,0.0208605,0.0559263,0.0274153,0.00767438,0.0166153,0.0453762,0.023676,0.0322544,0.024482,0.0134295,0.0131355,0.0219576,0.0345515,0.031449,0.0338853,0
7,0.0304039,0.0241937,0.017266,0.021883,0.0295974,0.029745,0.028515,0.0245986,0.040216,0.0125829,0.00976779,0.0413607,0.0317504,0.02392,0.0137413,0.0149021,0.0378417,0.033158,0.0280654,0.00513563,0.0280095,0.0183492,0.00623456,0.0199469,0.0574656,0.0268906,0.00581497,0.0189359,0.0451296,0.0230068,0.0350362,0.0253469,0.014975,0.0123936,0.0218283,0.0352218,0.030795,0.0338572,0
8,0.0302623,0.0236742,0.0166167,0.0219002,0.0295282,0.030074,0.0282463,0.0246284,0.0404519,0.0123165,0.0103763,0.0410535,0.0318978,0.0241396,0.0134878,0.0152863,0.0372319,0.0334374,0.0284914,0.00534218,0.0271547,0.0175857,0.00589114,0.019159,0.0589293,0.0264308,0.00568857,0.021056,0.0449606,0.0222956,0.0371211,0.027405,0.0169237,0.0118701,0.0215533,0.0356859,0.0300943,0.033934,0
