Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0239866,0.0243915,0.0243291,0.0348808,0.0343995,0.0361524,0.0665988,0.0287941,0.0274958,0.0232696,0.0106911,0.0366644,0.0301859,0.0156502,0.0181036,0.0271195,0.0289325,0.0279385,0.0276003,0.0160472,0.03281,0.0423531,0.0354918,0.026988,0.0594623,0.0243529,0.023819,0.0213859,0.0100845,0.0304026,0.0346939,0.0124247,0.0185066,0.0221737,0.0267924,0.0233979,0.0219865,0.0282464,0.0260207
0,0.0293836,0.0318394,0.018194,0.0208733,0.047844,0.0487797,0.114979,0.0242034,0.0307288,0.015284,0.00849719,0.0343409,0.0480807,0.0123174,0.0109889,0.0135985,0.0489964,0.0305269,0.0325505,0.0214816,0.0264897,0.0437636,0.0675379,0.0137713,0.111909,0.0203272,0.019876,0.0321188,0.0121746,0.0251257,0.0343214,0.0133712,0.0220466,0.0314059,0.0170888,0.0189401,0.02012,0.0350902,0.0259181
1,0.0293315,0.0320532,0.0181299,0.0211172,0.0481413,0.0480044,0.114602,0.0245103,0.0303517,0.0149257,0.00829749,0.0348843,0.0473694,0.013457,0.0115363,0.0137347,0.0480798,0.0306746,0.0323034,0.0214176,0.0270332,0.0449339,0.0671525,0.0144792,0.111184,0.0212361,0.0206157,0.0308686,0.0123509,0.0256519,0.035393,0.0131001,0.0215254,0.0302676,0.0180581,0.0196687,0.0206365,0.0352335,0.0259867
2,0.0293307,0.0322321,0.0180048,0.0213187,0.0483923,0.0474062,0.114248,0.0248724,0.0301614,0.0146615,0.00814958,0.0354534,0.0466353,0.0139839,0.0119948,0.0136674,0.0474048,0.0308103,0.0321002,0.0213776,0.0275197,0.0460073,0.0668176,0.0150769,0.110539,0.0217138,0.0212054,0.0297673,0.0125818,0.0261903,0.036358,0.0128154,0.02127,0.0294245,0.0189994,0.0202604,0.0210583,0.0351614,0.0260942
3,0.029349,0.032375,0.0178597,0.0214564,0.0483697,0.0469615,0.1139,0.0253629,0.0300877,0.0144593,0.00802398,0.0360313,0.0459368,0.0144526,0.0124426,0.0135707,0.0468731,0.0309189,0.0319669,0.0212929,0.0279545,0.0469481,0.0665323,0.0154588,0.109968,0.0218197,0.0216131,0.0288168,0.0127269,0.026675,0.0372736,0.0124689,0.0212542,0.0286516,0.0197706,0.0205022,0.0213349,0.0349682,0.0262156
4,0.0294032,0.0324932,0.0177292,0.0215226,0.0483374,0.0466552,0.113538,0.0259383,0.0300659,0.014263,0.00790627,0.036597,0.045484,0.0149194,0.0126987,0.0135479,0.0465225,0.0309681,0.0318865,0.0211618,0.028299,0.0477228,0.0662705,0.0156129,0.109444,0.0221274,0.021822,0.0280202,0.0127534,0.0270955,0.0380475,0.0120282,0.0214557,0.0276195,0.0203264,0.0207548,0.0214835,0.0347673,0.0263634
5,0.0295343,0.0326126,0.0176512,0.0215962,0.0481615,0.0464649,0.113128,0.026477,0.0301093,0.0141257,0.00776711,0.0370858,0.0452973,0.015379,0.012915,0.0136077,0.046381,0.0310233,0.0318139,0.0209587,0.0285444,0.0482496,0.0660198,0.0156258,0.109007,0.0226365,0.0218599,0.0273951,0.0127102,0.0274228,0.038585,0.011504,0.0217922,0.0263763,0.0207407,0.0206852,0.0215243,0.0345932,0.0265388
6,0.0296957,0.0327431,0.0176939,0.0216185,0.0478156,0.0463665,0.112646,0.0269706,0.0301805,0.0140326,0.0076417,0.0374612,0.0453927,0.0156913,0.0130897,0.0136506,0.0464489,0.0312329,0.0317232,0.0206696,0.0287259,0.0485088,0.0657528,0.0155919,0.10865,0.0229132,0.0218814,0.0268216,0.0124787,0.0276663,0.0388979,0.0109449,0.0221414,0.025065,0.021015,0.0206598,0.0214816,0.0345476,0.0267725
7,0.0298756,0.0328641,0.0176571,0.0216378,0.0471219,0.0463052,0.112072,0.0274606,0.0302683,0.0137928,0.00762341,0.0377524,0.0458107,0.0158932,0.0132501,0.0137085,0.0465902,0.0313483,0.0316629,0.0202078,0.0288133,0.0485226,0.0654928,0.0155457,0.10836,0.0230001,0.0219084,0.0261638,0.012061,0.0278665,0.0390092,0.0103904,0.0224726,0.0240067,0.0209579,0.0206997,0.0213969,0.0347862,0.0270489
8,0.0300698,0.033016,0.0175447,0.0216138,0.0463959,0.0462763,0.111475,0.0279346,0.0303966,0.0135505,0.00772101,0.0379764,0.0463886,0.0161011,0.013535,0.0137857,0.0468148,0.031376,0.0316667,0.0194716,0.0288267,0.0483232,0.0652569,0.0155407,0.108134,0.0230587,0.0219285,0.025457,0.0115487,0.0279791,0.0388267,0.00982478,0.0228073,0.0231529,0.020893,0.0205296,0.0213539,0.0351366,0.0273362
9,0.0302741,0.0331748,0.0173619,0.0216065,0.0456689,0.0462334,0.110894,0.0283423,0.0305605,0.0133782,0.0078638,0.0381474,0.0470568,0.0163783,0.0138922,0.0139117,0.0471608,0.0314404,0.0317171,0.0183334,0.0287689,0.0479719,0.0650553,0.0155811,0.10798,0.0231913,0.0219734,0.024649,0.0110306,0.0279862,0.0384539,0.00921482,0.0230128,0.0222134,0.020885,0.020361,0.0213353,0.0356135,0.0276312
10,0.0304383,0.0333076,0.0171628,0.021563,0.0449988,0.0461555,0.11035,0.0286808,0.0307153,0.0132777,0.00815229,0.0382769,0.0477107,0.0167272,0.0141169,0.0141007,0.0475695,0.0315435,0.0318079,0.0169033,0.0286126,0.047536,0.0648744,0.015654,0.107886,0.0234523,0.0220166,0.0237074,0.010408,0.0279324,0.0379931,0.0085571,0.0231286,0.0209994,0.0208205,0.0200632,0.0211565,0.0361332,0.0278998
11,0.0305316,0.0333906,0.0169705,0.021498,0.0443052,0.046054,0.10983,0.0289928,0.0308926,0.0131946,0.0085401,0.0383688,0.0483878,0.0171,0.014389,0.0143213,0.0479249,0.031623,0.0319388,0.0152633,0.0283551,0.0470069,0.0646773,0.015755,0.107784,0.0238171,0.0220868,0.0226488,0.00971052,0.0278548,0.0374725,0.00783216,0.0232073,0.0198626,0.0208229,0.0197976,0.021025,0.0366335,0.0281652
12,0.0305957,0.0334092,0.0167821,0.0214504,0.0437266,0.0459143,0.109309,0.0292209,0.0310994,0.0130743,0.0089912,0.0384802,0.0490228,0.0175241,0.0148187,0.014599,0.0481419,0.0316822,0.0321209,0.0134648,0.0279953,0.0464409,0.0644922,0.0158968,0.107696,0.0239843,0.0222171,0.0214071,0.00901381,0.0277598,0.0368871,0.00703489,0.0232147,0.0187967,0.0209632,0.0196271,0.0208965,0.0371382,0.0284129
13,0.0306218,0.0333549,0.0165474,0.0214516,0.043238,0.0457218,0.10881,0.0294335,0.0313024,0.0129282,0.00949861,0.0386374,0.0494291,0.018006,0.0152136,0.0149218,0.0483306,0.0317452,0.0323305,0.0116335,0.0275388,0.0459061,0.0643506,0.0161081,0.107635,0.0239318,0.0224348,0.02019,0.00847902,0.0276433,0.0363404,0.00622268,0.0231008,0.0176123,0.0210473,0.0195499,0.0209548,0.0375852,0.0286636
14,0.0306072,0.033265,0.0163037,0.0213654,0.0429008,0.0454751,0.10847,0.0295484,0.0314867,0.0127891,0.0100625,0.0388544,0.0496952,0.0184908,0.0154557,0.0152663,0.0485278,0.03172,0.032549,0.00997084,0.0270119,0.0454263,0.0642259,0.0163407,0.107573,0.0237429,0.0226993,0.0190611,0.00849983,0.0275324,0.0358547,0.00549793,0.022968,0.0163823,0.0211132,0.0195374,0.0209626,0.0379472,0.0289172
15,0.0305683,0.0331802,0.0160439,0.0212236,0.0424456,0.0451744,0.10812,0.0295166,0.0316503,0.0127297,0.0106399,0.0391205,0.0500023,0.0189836,0.0158954,0.0156799,0.0487305,0.0315934,0.032738,0.00849189,0.0264493,0.0449589,0.0641028,0.0166102,0.107499,0.0234304,0.023026,0.0179204,0.00932992,0.0274318,0.0354053,0.00511146,0.0231296,0.0152678,0.0212345,0.0196025,0.0207071,0.0381613,0.0291944
