Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0267749,0.0497444,0.0203504,0.0370844,0.0467498,0.0258768,0.0600704,0.0512556,0.0479913,0.0205331,0.0111178,0.0368012,0.0573473,0.0151968,0.0165454,0.0250146,0.0647618,0.0249616,0.0300296,0.0138784,0.0411918,0.0222024,0.0549641,0.0185905,0.0604475,0.0511782,0.0289422,0.0176732,0.0150463,0.0452877,0.0333302,0.0207647,0.0253923,0.0195306,0.0185381,0.0327792,0.0315516,0.0590496,0.0248741
0,0.0285423,0.0494177,0.0116065,0.0377171,0.0362468,0.030741,0.0429726,0.0328467,0.0432966,0.0114963,0.0115817,0.0377966,0.05502,0.0193051,0.00931585,0.0204048,0.0497864,0.0322823,0.0307041,0.0148286,0.0454344,0.0220833,0.0300423,0.0115626,0.0431205,0.0560092,0.020655,0.017178,0.018506,0.0416689,0.0304605,0.0130145,0.0340811,0.019637,0.0121203,0.0307335,0.029938,0.0621569,0.0287791
1,0.0284206,0.0494634,0.0121608,0.0376479,0.0357908,0.0302936,0.0426964,0.0312084,0.0419714,0.011642,0.0110905,0.037796,0.054802,0.0203089,0.00936031,0.0215644,0.0503859,0.0311995,0.0283675,0.0139031,0.0461927,0.0220315,0.0297987,0.0106398,0.043176,0.0565878,0.0208918,0.0170727,0.0184482,0.0422307,0.0305929,0.0125927,0.0341191,0.0190795,0.0114409,0.032181,0.0309436,0.0625596,0.029008
2,0.0281793,0.0494919,0.0126444,0.0375659,0.0353644,0.029914,0.0424813,0.0301251,0.0410622,0.0113279,0.0110976,0.0378797,0.0547155,0.0209058,0.00997678,0.0229547,0.0509933,0.030263,0.0267988,0.0131352,0.0466905,0.0218629,0.0296557,0.00998947,0.043278,0.0569823,0.0210863,0.0164458,0.0188096,0.0424878,0.0306978,0.0120247,0.0339106,0.0184099,0.0109141,0.0323353,0.0317041,0.0628991,0.0291413
3,0.0278515,0.0495049,0.0130095,0.0374208,0.0349748,0.0296466,0.0422904,0.0294804,0.0405136,0.0111966,0.0113736,0.0379933,0.0547138,0.0211535,0.0105847,0.024604,0.0516496,0.029468,0.0255489,0.0126183,0.0469014,0.0216064,0.029607,0.00956447,0.0434514,0.0570831,0.0212133,0.0159638,0.0192907,0.0424788,0.0307707,0.0114858,0.0332196,0.0174342,0.0105305,0.032721,0.0322822,0.0631599,0.0291616
4,0.0274662,0.0495145,0.0132786,0.0372146,0.0346349,0.0295445,0.0421279,0.0291739,0.0402658,0.0114784,0.0116989,0.038089,0.0547166,0.0214504,0.0113658,0.0266089,0.0524009,0.0288003,0.0244849,0.012166,0.0470191,0.0212704,0.0296137,0.00925287,0.0436083,0.0571005,0.0212864,0.0157466,0.0196135,0.0423481,0.0308076,0.0112235,0.0319219,0.0161643,0.0102847,0.0330616,0.0327246,0.063316,0.0290633
5,0.0270348,0.0495427,0.0134578,0.0370375,0.0343561,0.0294625,0.0419599,0.0291472,0.0402548,0.0120972,0.01186,0.0381182,0.0547697,0.0217771,0.0120538,0.0285596,0.0532633,0.0282201,0.0236379,0.0119256,0.0470103,0.0208304,0.0296344,0.00907967,0.0437762,0.0571085,0.0213359,0.0157387,0.0195591,0.0421699,0.0308498,0.0113393,0.0302208,0.0148513,0.0101204,0.0334559,0.0328792,0.0633512,0.0288621
6,0.0265652,0.0495838,0.0135909,0.0368685,0.0341195,0.0293997,0.0417975,0.0293626,0.0404557,0.0129503,0.0117728,0.0381488,0.0548484,0.0220576,0.0130647,0.0304685,0.0542399,0.0277016,0.0229609,0.0120871,0.0463474,0.0202738,0.0297109,0.00902117,0.0439711,0.0570047,0.0213663,0.0157753,0.0190792,0.0417479,0.0309903,0.0117216,0.0282045,0.0137632,0.0100043,0.0337406,0.0329481,0.0632727,0.0285756
7,0.0260953,0.0496366,0.0137293,0.0365917,0.0339075,0.0293132,0.0416159,0.0297937,0.040837,0.0139996,0.0114199,0.0383192,0.0549847,0.0219215,0.0137103,0.0325154,0.0552902,0.0272214,0.0224323,0.0125077,0.0456574,0.0196282,0.029857,0.00903348,0.0440515,0.0567666,0.021386,0.0159866,0.0182565,0.0415027,0.0311375,0.0121576,0.0262424,0.0130367,0.00993887,0.033863,0.0330354,0.0630847,0.0282017
8,0.025665,0.0496918,0.0138512,0.0361605,0.033801,0.0291596,0.0413721,0.0303615,0.0413494,0.015116,0.0108029,0.0385554,0.0551727,0.0214537,0.0141395,0.0347668,0.056411,0.0267628,0.0221406,0.0131302,0.0451282,0.0189212,0.0300379,0.00906961,0.0440247,0.0566034,0.0214268,0.0164013,0.0174596,0.0413188,0.0312659,0.0125453,0.0244486,0.0129395,0.00992746,0.0339098,0.033166,0.0628003,0.0277607
9,0.0253015,0.0497257,0.0138595,0.0358491,0.033726,0.0289237,0.0410372,0.031096,0.041979,0.0161901,0.0100076,0.0383964,0.0552873,0.0208482,0.0146044,0.0368715,0.0575642,0.0263207,0.0220446,0.0137405,0.0448151,0.0182507,0.0302724,0.00913517,0.0438809,0.0565263,0.0215341,0.0166078,0.0169647,0.0414143,0.0313625,0.0128323,0.0231306,0.0129205,0.00995797,0.0339312,0.0331427,0.0624324,0.0272689
10,0.0250107,0.0496999,0.0136455,0.0357576,0.033736,0.0286144,0.0406041,0.0320566,0.0427127,0.0170648,0.00935481,0.0383026,0.0553591,0.0201471,0.0149333,0.0387642,0.0587224,0.0259306,0.0220649,0.0142221,0.0445032,0.0177243,0.0305232,0.00922234,0.043463,0.0564516,0.0217267,0.0169417,0.0167472,0.0413858,0.0313632,0.0130824,0.0223959,0.0127715,0.0100192,0.0339296,0.0331502,0.0619478,0.0267677
11,0.0248699,0.0496079,0.0132271,0.0357798,0.0338844,0.0282353,0.0399628,0.0332512,0.0435883,0.0176468,0.00888542,0.0383226,0.0554255,0.0192803,0.0150053,0.0403333,0.0598394,0.0255596,0.0222805,0.0146527,0.0443015,0.0173937,0.0307699,0.00934624,0.0427524,0.0563173,0.0220317,0.0170754,0.0166953,0.0412026,0.0312734,0.0134142,0.0222318,0.0125708,0.0101256,0.0339011,0.0330648,0.061283,0.0262572
12,0.0248329,0.0494492,0.012754,0.0358326,0.0341648,0.0278621,0.0391614,0.0346803,0.0445731,0.0179926,0.00841127,0.0382978,0.0553945,0.0181923,0.0147869,0.0414943,0.0608359,0.0252112,0.0226141,0.015012,0.0443731,0.0172583,0.0310319,0.00955362,0.0417711,0.0561739,0.0223717,0.0169101,0.0167898,0.041205,0.0310904,0.0138804,0.0225957,0.0123708,0.0102985,0.0338329,0.0330474,0.0604786,0.0257703
13,0.0249258,0.0492115,0.0123663,0.0359133,0.0345159,0.0274137,0.0382045,0.0363259,0.0456586,0.0183314,0.00779914,0.0381244,0.0552179,0.0168755,0.0143258,0.042092,0.0616882,0.0249313,0.0229509,0.0152598,0.0444909,0.0172828,0.031281,0.00986583,0.0405249,0.0560335,0.0228241,0.0168953,0.0170726,0.0413494,0.0308439,0.0143978,0.0234496,0.0122284,0.0105454,0.0337799,0.0328995,0.0595705,0.0253456
14,0.0251879,0.0489399,0.0122633,0.0361031,0.0344985,0.0268648,0.0370964,0.0381221,0.0467268,0.0187687,0.00711424,0.037899,0.0549051,0.0154569,0.0139472,0.0420201,0.0623536,0.0246879,0.0236061,0.0154091,0.0447214,0.0173455,0.0315486,0.0102592,0.0391301,0.0557755,0.0233781,0.0166072,0.0175716,0.0415894,0.0305698,0.0147445,0.0246193,0.0120321,0.0108539,0.0337759,0.0327406,0.0585823,0.0250063
15,0.025561,0.048605,0.0124908,0.0364387,0.0345341,0.0262121,0.0359232,0.040097,0.0477929,0.0193288,0.00629902,0.0376775,0.0545471,0.0140001,0.013912,0.0412336,0.0627825,0.0245225,0.0245515,0.0154607,0.0448698,0.0173497,0.031871,0.0107195,0.0376269,0.0554283,0.023988,0.0161757,0.0182136,0.0419037,0.0302853,0.0148366,0.0258542,0.0117846,0.0112273,0.0337607,0.0325883,0.0575271,0.0247112
16,0.026045,0.0482486,0.013161,0.0369144,0.034612,0.0254276,0.034707,0.0422164,0.0488073,0.0201165,0.00561783,0.0374728,0.0541948,0.0125686,0.013933,0.0395749,0.0629424,0.0245583,0.0255489,0.015458,0.0445669,0.0172793,0.0322469,0.0112411,0.0360276,0.0552099,0.0246307,0.0159762,0.0188061,0.0420399,0.0300097,0.0147821,0.0267695,0.0115293,0.0116335,0.0336263,0.0324115,0.0563932,0.024425
