Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
All Timesteps RMSE,0.0276088,0.0245595,0.0198191,0.0406063,0.0234372,0.0200399,0.0285433,0.049782,0.0489073,0.0200323,0.0108414,0.0401304,0.0239854,0.0192539,0.019751,0.0243145,0.0393205,0.0321202,0.033569,0.0139146,0.0355847,0.0204404,0.0207647,0.0204622,0.0394996,0.0333496,0.0184392,0.0141913,0.0367958,0.023844,0.0161474,0.0253533,0.0194206,0.0252268,0.0246881,0.0263796,0.030424,0.0257809,0.0378107
0,0.0274477,0.028902,0.0274748,0.0194466,0.0343787,0.0154101,0.0666055,0.0513784,0.0471261,0.030597,0.0050207,0.0359491,0.0274145,0.00698509,0.02691,0.0310471,0.0432944,0.0261882,0.027559,0.00928523,0.0384336,0.0304305,0.0267352,0.0503972,0.0308023,0.0333061,0.010914,0.0154764,0.0480325,0.0258138,0.0329797,0.0209755,0.0140403,0.0300851,0.025587,0.0256554,0.0370083,0.0244371,0
1,0.0280027,0.0292743,0.0224234,0.0194613,0.0334878,0.0157634,0.0653319,0.0531833,0.0480427,0.0253874,0.0063646,0.0362016,0.0275616,0.00675035,0.0253772,0.0258653,0.0433639,0.0276677,0.0288441,0.00905222,0.0388929,0.0297106,0.026229,0.0492468,0.0295686,0.0327577,0.0107046,0.0161128,0.048826,0.0260741,0.0338703,0.021569,0.014492,0.0300945,0.0248416,0.0247639,0.0373812,0.0249716,0
2,0.0284514,0.0296164,0.0181386,0.0193209,0.0326725,0.0159723,0.064133,0.0545547,0.0487068,0.0210277,0.00824166,0.0363634,0.0278779,0.00796277,0.024236,0.0219259,0.0434024,0.0290946,0.029594,0.00884145,0.0392144,0.0290556,0.0257924,0.0481916,0.0286857,0.0323361,0.0104823,0.016735,0.0495377,0.0263302,0.0347141,0.0220962,0.0148961,0.0300315,0.024327,0.0239988,0.037659,0.0254764,0
3,0.0288128,0.0298426,0.0146051,0.0190508,0.0319428,0.0160327,0.0630136,0.0555115,0.0491725,0.0171764,0.0102738,0.0364721,0.0283223,0.00982505,0.0235506,0.0191042,0.0433551,0.0296211,0.0302364,0.00871694,0.0394116,0.0284591,0.0255376,0.0473067,0.0280535,0.0320545,0.0102592,0.0173552,0.0501755,0.0265755,0.0355391,0.0225887,0.0152798,0.0299039,0.023972,0.0233984,0.0378249,0.0259146,0
4,0.029082,0.0300431,0.0119462,0.0187972,0.0312979,0.0159694,0.0619798,0.0562424,0.0494587,0.014037,0.0119161,0.0365237,0.0285737,0.0118241,0.0233724,0.0171391,0.0432148,0.0305694,0.0305662,0.00844928,0.0395346,0.0279281,0.0254254,0.0464579,0.0276593,0.0319078,0.0100766,0.017948,0.0507852,0.0268163,0.0363673,0.0230412,0.0156721,0.0299643,0.0236679,0.0229967,0.0379527,0.0262742,0
5,0.0292958,0.0302237,0.0100039,0.0188977,0.0307279,0.0158241,0.0610131,0.0568622,0.0495764,0.011862,0.0130276,0.0365882,0.0289,0.0137299,0.0236476,0.0159213,0.0430618,0.0309462,0.030818,0.00808331,0.0399214,0.027477,0.0253497,0.0456508,0.0274874,0.0319243,0.00989541,0.0184843,0.0513675,0.0270169,0.037187,0.0234668,0.0161322,0.0301497,0.0235192,0.0228051,0.0380613,0.0265408,0
6,0.0294707,0.030341,0.00899412,0.0194881,0.0302496,0.0156313,0.0600795,0.0573385,0.0495056,0.0105763,0.0135759,0.0366928,0.0289566,0.0154051,0.0241866,0.0154367,0.0430374,0.0307617,0.0311239,0.00764213,0.0402617,0.0271252,0.0250743,0.0448786,0.0274589,0.0320442,0.009736,0.0190038,0.0519246,0.0272047,0.0377844,0.0238629,0.0166313,0.0303394,0.0233703,0.0228008,0.0381658,0.0267181,0
7,0.0295979,0.0304072,0.00891922,0.0198404,0.0298449,0.0153973,0.059193,0.0576012,0.0493413,0.0102487,0.0135319,0.0368782,0.0289745,0.016616,0.0247073,0.0155277,0.0430546,0.0310196,0.0314435,0.00707485,0.0405205,0.0267932,0.024966,0.0441571,0.0275293,0.0319367,0.00958573,0.0195072,0.052464,0.0273784,0.0383274,0.0241562,0.0171694,0.0305107,0.0231716,0.0227473,0.0382991,0.0268116,0
8,0.0296797,0.0304244,0.00954706,0.0200515,0.029509,0.0151379,0.0583732,0.0576744,0.0493083,0.0107351,0.0129417,0.0371483,0.029086,0.0171174,0.0250901,0.0158489,0.0427563,0.0305955,0.0315118,0.00668088,0.0407552,0.0264682,0.0249988,0.0435141,0.0276968,0.0318991,0.0094892,0.0199747,0.0529274,0.0275004,0.0389377,0.0243074,0.0177321,0.0306805,0.0230844,0.0226824,0.0384611,0.0268209,0
9,0.0297348,0.0304288,0.0105824,0.020243,0.0292407,0.0148411,0.0576354,0.0576373,0.0492763,0.0117396,0.0119451,0.0374225,0.0291261,0.0168788,0.0253821,0.0160726,0.0425076,0.0303535,0.0313788,0.00639029,0.0409688,0.0261892,0.0250499,0.0429598,0.0279446,0.0319615,0.0094774,0.0204439,0.053304,0.0275554,0.0396476,0.0244219,0.0183306,0.0308453,0.0230847,0.0225315,0.0386361,0.0267609,0
10,0.0297765,0.030425,0.0119142,0.0203758,0.0290366,0.0145252,0.0569588,0.0575484,0.0491513,0.0131163,0.0108873,0.0377163,0.0292081,0.0160078,0.0257112,0.0162447,0.0424048,0.0302454,0.0313689,0.00584982,0.0411607,0.026018,0.025018,0.0424402,0.0282173,0.0320696,0.00927563,0.0208741,0.0534601,0.0275291,0.0403099,0.0245568,0.0189606,0.0309999,0.0230403,0.0223948,0.0388371,0.02664,0
11,0.0297875,0.0304272,0.0135123,0.0207643,0.0288606,0.0142312,0.0563561,0.0574026,0.0489858,0.0146676,0.00999695,0.0379849,0.0293328,0.0148292,0.0261242,0.0167955,0.042394,0.0302447,0.03143,0.00531414,0.0413483,0.0258516,0.0250772,0.041955,0.0285473,0.0322213,0.0089953,0.0212659,0.0533018,0.0274462,0.040848,0.0246359,0.0196617,0.0311283,0.0229473,0.0226172,0.0390792,0.0264778,0
12,0.0297474,0.0304665,0.0153524,0.0213172,0.0286895,0.0139565,0.0558103,0.057218,0.0488158,0.0162612,0.00929405,0.0381626,0.0294847,0.0137165,0.026601,0.0180838,0.0424333,0.0305693,0.0313018,0.00484598,0.0414337,0.0256691,0.02495,0.0416127,0.0289237,0.0324456,0.00887028,0.0216254,0.0532252,0.0273016,0.0413253,0.0246527,0.0204624,0.0312165,0.0228671,0.0226791,0.0393344,0.0262944,0
13,0.0296889,0.0305339,0.0172401,0.0218815,0.0285268,0.0136929,0.0553293,0.0570082,0.0486643,0.0178976,0.00883257,0.038287,0.0296979,0.0128785,0.0271451,0.0198182,0.0425107,0.0312114,0.0312211,0.00442877,0.0414875,0.0254973,0.0249392,0.0414203,0.0292975,0.0325497,0.00863171,0.0219244,0.0530428,0.0271171,0.0417114,0.0246788,0.0213602,0.0312742,0.0228124,0.0224943,0.0395615,0.0261236,0
