Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0314809,0.0153887,0.017319,0.0397552,0.0252338,0.0239326,0.035115,0.0319228,0.0140145,0.0140191,0.0180514,0.0369022,0.0167075,0.0201668,0.0172452,0.0226944,0.0185781,0.00970443,0.0108623,0.0136939,0.0289219,0.033452,0.0241974,0.0207804,0.0304046,0.0283786,0.0180253,0.0123883,0.0133828,0.0295943,0.0235053,0.0108718,0.0153424,0.0178796,0.0196979,0.0131361,0.0154384,0.0208301,0.0529605
0,0.0358417,0.0348994,0.042744,0.0451821,0.00817295,0.00869253,0.0241901,0.0246221,0.027595,0.0453635,0.035437,0.0401335,0.0311104,0.0279312,0.0400016,0.0380453,0.0242637,0.00924209,0.00624849,0.027217,0.0424646,0.0539393,0.0166047,0.0112548,0.0125093,0.0255333,0.0124542,0.0324803,0.0295274,0.0393121,0.0442161,0.0209968,0.0415958,0.0305846,0.0149067,0.020781,0.0172524,0.0395258,0.0340654
1,0.0349765,0.034158,0.0411793,0.0448574,0.00789774,0.00787191,0.0247154,0.0230937,0.0267516,0.0437579,0.0338838,0.0396538,0.030378,0.0272237,0.0382603,0.0365499,0.0243572,0.0103168,0.00565284,0.0258831,0.0415984,0.0529101,0.0156828,0.0103024,0.0126176,0.0248212,0.0124474,0.0311357,0.0285619,0.0391342,0.0432426,0.0201972,0.0406943,0.0293344,0.0153518,0.0195369,0.0164237,0.0397473,0.0337754
2,0.0341998,0.0334147,0.039623,0.0444801,0.00782505,0.00684451,0.0252279,0.0211607,0.0259808,0.0421462,0.0324135,0.0391738,0.0296825,0.0263216,0.036343,0.0350512,0.0241634,0.0114418,0.00528282,0.0245301,0.0408261,0.0519333,0.0148929,0.00959719,0.012755,0.0243415,0.0125759,0.0298247,0.0276731,0.0386378,0.042427,0.0194591,0.0397406,0.0280924,0.0156589,0.0185437,0.0159368,0.0394598,0.0335627
3,0.0334546,0.0326649,0.0380599,0.0440282,0.00783402,0.00613065,0.0257331,0.0193749,0.0252283,0.0405073,0.031022,0.0386476,0.0289865,0.0251911,0.034625,0.0335467,0.0239111,0.012521,0.00531865,0.023222,0.0402325,0.0509865,0.0141759,0.00905911,0.0129107,0.0239726,0.0125367,0.0285036,0.0268287,0.0380058,0.0414982,0.0185852,0.0387989,0.0268605,0.0158026,0.0178243,0.0155866,0.0389227,0.0333671
4,0.0326557,0.0318837,0.0364846,0.0434995,0.00806723,0.00572702,0.02623,0.0176298,0.024368,0.0388602,0.029693,0.038079,0.0282627,0.0241619,0.0330757,0.0320332,0.0235844,0.0135115,0.00541752,0.0218735,0.0397893,0.0500575,0.0135294,0.00860933,0.0130989,0.0234827,0.012492,0.027181,0.0259847,0.0372613,0.0404192,0.0177492,0.0379079,0.0256297,0.0158063,0.0173271,0.0153203,0.038263,0.0331364
5,0.0318061,0.0310547,0.0348895,0.0429293,0.00839859,0.00547143,0.0267547,0.0159529,0.0233504,0.0371902,0.0284214,0.0374995,0.0274285,0.0229627,0.0316105,0.0305034,0.0230847,0.0144324,0.00511012,0.020516,0.0393864,0.0490575,0.0129588,0.00820849,0.0133685,0.0228931,0.0123941,0.0258485,0.0250898,0.0364031,0.0393854,0.0169382,0.0370107,0.0243879,0.0156429,0.0170049,0.0150967,0.0374921,0.0328716
6,0.0308772,0.0301552,0.0332674,0.0422967,0.00881408,0.00533278,0.0273011,0.0144612,0.0224046,0.0355044,0.0272083,0.0369104,0.0264392,0.0215745,0.0301862,0.0289589,0.0224936,0.0153693,0.00563808,0.0191613,0.0389302,0.0478977,0.0124287,0.00779027,0.0137208,0.02214,0.0120383,0.0244804,0.0241254,0.0357717,0.038392,0.0160991,0.0360481,0.0231314,0.0152365,0.0167907,0.0148788,0.0365714,0.0325435
7,0.0298428,0.0291354,0.0316074,0.0415725,0.00949968,0.00524691,0.0278781,0.0132789,0.021489,0.0337761,0.025983,0.0362892,0.0253278,0.0210573,0.0287577,0.027388,0.0219243,0.0163202,0.00652213,0.0178091,0.0383522,0.0465609,0.0119253,0.00728934,0.0141709,0.0213999,0.0115083,0.0230472,0.0231657,0.0352954,0.0373516,0.0151745,0.0349935,0.0218346,0.0145773,0.0167169,0.0146464,0.0355122,0.0321141
8,0.0287118,0.0279841,0.0299044,0.0408045,0.0103662,0.00517138,0.0284996,0.0125386,0.0205498,0.0319947,0.0247071,0.0356576,0.0241034,0.0221101,0.0273184,0.025801,0.0214006,0.0172255,0.00784505,0.0164524,0.0375967,0.0450597,0.0114737,0.00668842,0.0147637,0.0206234,0.0107201,0.0215652,0.0221913,0.03457,0.0360171,0.0141534,0.0338669,0.0205004,0.0137745,0.0168993,0.0144547,0.0343418,0.031551
