Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,x39,x40
All Timesteps RMSE,0.0489309,0.0225896,0.0107209,0.0372223,0.0246994,0.114925,0.0463811,0.076292,0.0742641,0.0140485,0.0226106,0.0231282,0.07024,0.017945,0.0108725,0.00437353,0.0973402,0.0708511,0.0672971,0.00758876,0.0463414,0.0760203,0.0329797,0.0562608,0.0362314,0.0579809,0.0477846,0.00425799,0.00434394,0.048687,0.120796,0.0188457,0.0157347,0.00214875,0.0359466,0.0159225,0.0211134,0.0215658,0.0577856,0,0
0,0.0459767,0.0220712,0.0130276,0.048863,0.0139501,0.117508,0.0150039,0.0908039,0.0923909,0.0149095,0.0236674,0.0332075,0.0766709,0.0265698,0.0157379,0.00972225,0.128671,0.0904223,0.0662449,0.00980385,0.0523977,0.0647834,0.0273779,0.0540405,0.0213966,0.0743494,0.0454709,0.00790223,0.00833924,0.0534117,0.105502,0.0219067,0.0225324,0.00514386,0.0358651,0.00592733,0.0297236,0.0212884,0.0511416,0,0
1,0.0453782,0.0214236,0.0127236,0.0485194,0.0127841,0.118195,0.0152077,0.0868178,0.089193,0.0146076,0.0234206,0.0329493,0.0759437,0.026206,0.0153638,0.0095211,0.124176,0.0873285,0.0657094,0.00961054,0.0522542,0.0645539,0.0265623,0.0543814,0.0210271,0.0724717,0.0454022,0.0075684,0.00812921,0.0533042,0.105133,0.0218435,0.0223651,0.00484751,0.0358694,0.00548018,0.0281833,0.0201848,0.0510694,0,0
2,0.0448023,0.0207618,0.0124439,0.0482041,0.0115937,0.118413,0.0155457,0.0840037,0.0856856,0.0143189,0.0231871,0.032712,0.0751708,0.0258585,0.0150236,0.00934025,0.119749,0.083951,0.0655093,0.00944037,0.0521564,0.0643572,0.025739,0.054677,0.0206518,0.0707338,0.0454741,0.00724732,0.00793719,0.0532037,0.104782,0.0217668,0.0221914,0.00458801,0.0358565,0.00514832,0.0268394,0.019673,0.0510277,0,0
3,0.0442355,0.0200933,0.0121924,0.0479063,0.0103383,0.118217,0.0160052,0.0821335,0.0822534,0.0141544,0.0229678,0.0325178,0.0742793,0.0255405,0.0147103,0.00918939,0.115476,0.0805369,0.0656981,0.00929893,0.0520885,0.064197,0.0249096,0.0549361,0.020331,0.0691994,0.0455147,0.0069531,0.00775842,0.0531116,0.104465,0.0216747,0.0219976,0.00437079,0.0358601,0.00495938,0.0256613,0.0193735,0.0510137,0,0
4,0.0436806,0.0194345,0.0119563,0.0476264,0.00902086,0.117694,0.0165748,0.0810104,0.0792074,0.0140107,0.0227633,0.0323672,0.0732704,0.0252513,0.0144194,0.00905758,0.111527,0.0773682,0.0662368,0.00916299,0.0520361,0.0640795,0.0240814,0.0551704,0.0200482,0.0678843,0.0454979,0.00668395,0.00759283,0.0530237,0.10418,0.0215696,0.0218114,0.00419681,0.0359133,0.00491044,0.024691,0.0191147,0.0510162,0,0
5,0.0431396,0.0187973,0.01173,0.0473583,0.00765002,0.116968,0.0172382,0.0804966,0.0767321,0.0138115,0.022575,0.0322241,0.0723475,0.0249782,0.0141525,0.00893689,0.108054,0.0746355,0.0670224,0.00903418,0.0519901,0.0640021,0.0232568,0.0553879,0.0197924,0.0668037,0.0454693,0.00643435,0.00743664,0.0529388,0.103928,0.0214553,0.0217421,0.00403362,0.0360154,0.00494543,0.0239407,0.0188794,0.051032,0,0
6,0.0426146,0.0181808,0.0115082,0.0470882,0.0062414,0.11616,0.0179583,0.0804805,0.0748652,0.0135998,0.0223897,0.0320774,0.0715006,0.0246985,0.0139016,0.00882494,0.105125,0.0724551,0.0678975,0.00890952,0.0519458,0.0639666,0.0224615,0.0555811,0.0195798,0.065947,0.0454613,0.00618878,0.00728594,0.0528402,0.103705,0.0213337,0.0216339,0.00386033,0.0361447,0.00499521,0.0233409,0.0186906,0.0510291,0,0
7,0.0421183,0.0176156,0.0112863,0.0468124,0.00488752,0.115369,0.0186895,0.0807309,0.0735564,0.0134608,0.022203,0.0319272,0.0706969,0.0244075,0.0136465,0.0087092,0.102702,0.0708488,0.0687247,0.00879019,0.0518774,0.0639675,0.0217177,0.0557343,0.019399,0.0652728,0.0454612,0.0059397,0.00712666,0.0527181,0.10349,0.0212123,0.0214813,0.00368411,0.0362633,0.00500973,0.0228861,0.0185383,0.0509983,0,0
8,0.0416588,0.0171107,0.0110578,0.046521,0.00379708,0.114644,0.0193979,0.0811017,0.0726939,0.0132857,0.0220157,0.0317609,0.069944,0.0240999,0.0133689,0.00858654,0.100812,0.06971,0.0694353,0.00868749,0.051771,0.0639797,0.0210305,0.0558516,0.0192462,0.0647559,0.0454774,0.00568093,0.00694457,0.0525658,0.103279,0.021087,0.0213457,0.00350963,0.0363493,0.00496473,0.0225781,0.0184016,0.0510066,0,0
